test	suite	result	exit_status	wall_seconds	cycles	log	tohost_exit	campaign
rv64ui-v-lbu	isa	PASS	0	21.762		isa-run/rv64ui-v-lbu/simulation.log		isa-run
rv64ui-v-ld	isa	PASS	0	23.622		isa-run/rv64ui-v-ld/simulation.log		isa-run
rv64ui-v-lh	isa	PASS	0	19.483		isa-run/rv64ui-v-lh/simulation.log		isa-run
rv64ui-v-lhu	isa	PASS	0	18.376		isa-run/rv64ui-v-lhu/simulation.log		isa-run
rv64ui-v-lui	isa	PASS	0	10.822		isa-run/rv64ui-v-lui/simulation.log		isa-run
rv64ui-v-lw	isa	PASS	0	18.617		isa-run/rv64ui-v-lw/simulation.log		isa-run
rv64ui-v-lwu	isa	PASS	0	17.964		isa-run/rv64ui-v-lwu/simulation.log		isa-run
rv64ui-v-ma_data	isa	WALL_TIMEOUT	0	300.116		isa-run/rv64ui-v-ma_data/simulation.log		isa-run
rv64ui-v-or	isa	PASS	0	18.472		isa-run/rv64ui-v-or/simulation.log		isa-run
rv64ui-v-ori	isa	PASS	0	10.119		isa-run/rv64ui-v-ori/simulation.log		isa-run
rv64ui-v-sb	isa	PASS	0	17.614		isa-run/rv64ui-v-sb/simulation.log		isa-run
rv64ui-v-sd	isa	PASS	0	26.316		isa-run/rv64ui-v-sd/simulation.log		isa-run
rv64ui-v-sh	isa	PASS	0	17.765		isa-run/rv64ui-v-sh/simulation.log		isa-run
rv64ui-v-simple	isa	PASS	0	10.379		isa-run/rv64ui-v-simple/simulation.log		isa-run
rv64ui-v-sll	isa	PASS	0	17.867		isa-run/rv64ui-v-sll/simulation.log		isa-run
rv64ui-v-slli	isa	PASS	0	10.37		isa-run/rv64ui-v-slli/simulation.log		isa-run
rv64ui-v-slliw	isa	PASS	0	10.42		isa-run/rv64ui-v-slliw/simulation.log		isa-run
rv64ui-v-sllw	isa	PASS	0	19.472		isa-run/rv64ui-v-sllw/simulation.log		isa-run
rv64ui-v-slt	isa	PASS	0	14.613		isa-run/rv64ui-v-slt/simulation.log		isa-run
rv64ui-v-slti	isa	PASS	0	14.262		isa-run/rv64ui-v-slti/simulation.log		isa-run
rv64ui-v-sltiu	isa	PASS	0	13.859		isa-run/rv64ui-v-sltiu/simulation.log		isa-run
rv64ui-v-sltu	isa	PASS	0	13.014		isa-run/rv64ui-v-sltu/simulation.log		isa-run
rv64ui-v-sra	isa	PASS	0	25.223		isa-run/rv64ui-v-sra/simulation.log		isa-run
rv64ui-v-srai	isa	PASS	0	12.795		isa-run/rv64ui-v-srai/simulation.log		isa-run
rv64ui-v-sraiw	isa	PASS	0	13.549		isa-run/rv64ui-v-sraiw/simulation.log		isa-run
rv64ui-v-sraw	isa	PASS	0	23.161		isa-run/rv64ui-v-sraw/simulation.log		isa-run
rv64ui-v-srl	isa	PASS	0	19.833		isa-run/rv64ui-v-srl/simulation.log		isa-run
rv64ui-v-srli	isa	PASS	0	10.424		isa-run/rv64ui-v-srli/simulation.log		isa-run
rv64ui-v-srliw	isa	PASS	0	10.726		isa-run/rv64ui-v-srliw/simulation.log		isa-run
rv64ui-v-srlw	isa	PASS	0	19.381		isa-run/rv64ui-v-srlw/simulation.log		isa-run
rv64ui-v-sub	isa	PASS	0	11.334		isa-run/rv64ui-v-sub/simulation.log		isa-run
rv64ui-v-subw	isa	PASS	0	11.337		isa-run/rv64ui-v-subw/simulation.log		isa-run
rv64ui-v-sw	isa	PASS	0	17.818		isa-run/rv64ui-v-sw/simulation.log		isa-run
rv64ui-v-xor	isa	PASS	0	18.621		isa-run/rv64ui-v-xor/simulation.log		isa-run
rv64ui-v-xori	isa	PASS	0	10.479		isa-run/rv64ui-v-xori/simulation.log		isa-run
rv64um-p-div	isa	PASS	0	1.475		isa-run/rv64um-p-div/simulation.log		isa-run
rv64um-p-divu	isa	PASS	0	1.474		isa-run/rv64um-p-divu/simulation.log		isa-run
rv64um-p-divuw	isa	PASS	0	1.376		isa-run/rv64um-p-divuw/simulation.log		isa-run
rv64um-p-divw	isa	PASS	0	1.679		isa-run/rv64um-p-divw/simulation.log		isa-run
rv64um-p-mul	isa	PASS	0	2.03		isa-run/rv64um-p-mul/simulation.log		isa-run
rv64um-p-mulh	isa	PASS	0	1.975		isa-run/rv64um-p-mulh/simulation.log		isa-run
rv64um-p-mulhsu	isa	PASS	0	1.977		isa-run/rv64um-p-mulhsu/simulation.log		isa-run
rv64um-p-mulhu	isa	PASS	0	2.278		isa-run/rv64um-p-mulhu/simulation.log		isa-run
rv64um-p-mulw	isa	PASS	0	1.981		isa-run/rv64um-p-mulw/simulation.log		isa-run
rv64um-p-rem	isa	PASS	0	1.579		isa-run/rv64um-p-rem/simulation.log		isa-run
rv64um-p-remu	isa	PASS	0	1.579		isa-run/rv64um-p-remu/simulation.log		isa-run
rv64um-p-remuw	isa	PASS	0	1.474		isa-run/rv64um-p-remuw/simulation.log		isa-run
rv64um-p-remw	isa	PASS	0	1.478		isa-run/rv64um-p-remw/simulation.log		isa-run
rv64um-v-div	isa	PASS	0	10.623		isa-run/rv64um-v-div/simulation.log		isa-run
rv64um-v-divu	isa	PASS	0	10.626		isa-run/rv64um-v-divu/simulation.log		isa-run
rv64um-v-divuw	isa	PASS	0	10.371		isa-run/rv64um-v-divuw/simulation.log		isa-run
rv64um-v-divw	isa	PASS	0	10.169		isa-run/rv64um-v-divw/simulation.log		isa-run
rv64um-v-mul	isa	PASS	0	10.827		isa-run/rv64um-v-mul/simulation.log		isa-run
rv64um-v-mulh	isa	PASS	0	10.771		isa-run/rv64um-v-mulh/simulation.log		isa-run
rv64um-v-mulhsu	isa	PASS	0	10.727		isa-run/rv64um-v-mulhsu/simulation.log		isa-run
rv64um-v-mulhu	isa	PASS	0	10.873		isa-run/rv64um-v-mulhu/simulation.log		isa-run
rv64um-v-mulw	isa	PASS	0	11.229		isa-run/rv64um-v-mulw/simulation.log		isa-run
rv64um-v-rem	isa	PASS	0	11.18		isa-run/rv64um-v-rem/simulation.log		isa-run
rv64um-v-remu	isa	PASS	0	10.269		isa-run/rv64um-v-remu/simulation.log		isa-run
rv64um-v-remuw	isa	PASS	0	10.42		isa-run/rv64um-v-remuw/simulation.log		isa-run
rv64um-v-remw	isa	PASS	0	10.276		isa-run/rv64um-v-remw/simulation.log		isa-run
rv64uzba-p-add_uw	isa	PASS	0	1.932		isa-run/rv64uzba-p-add_uw/simulation.log		isa-run
rv64uzba-p-sh1add	isa	PASS	0	1.978		isa-run/rv64uzba-p-sh1add/simulation.log		isa-run
rv64uzba-p-sh1add_uw	isa	PASS	0	1.976		isa-run/rv64uzba-p-sh1add_uw/simulation.log		isa-run
rv64uzba-p-sh2add	isa	PASS	0	2.029		isa-run/rv64uzba-p-sh2add/simulation.log		isa-run
rv64uzba-p-sh2add_uw	isa	PASS	0	2.026		isa-run/rv64uzba-p-sh2add_uw/simulation.log		isa-run
rv64uzba-p-sh3add	isa	PASS	0	2.029		isa-run/rv64uzba-p-sh3add/simulation.log		isa-run
rv64uzba-p-sh3add_uw	isa	PASS	0	1.928		isa-run/rv64uzba-p-sh3add_uw/simulation.log		isa-run
rv64uzba-p-slli_uw	isa	PASS	0	1.625		isa-run/rv64uzba-p-slli_uw/simulation.log		isa-run
rv64uzba-v-add_uw	isa	PASS	0	10.918		isa-run/rv64uzba-v-add_uw/simulation.log		isa-run
rv64uzba-v-sh1add	isa	PASS	0	10.726		isa-run/rv64uzba-v-sh1add/simulation.log		isa-run
rv64uzba-v-sh1add_uw	isa	PASS	0	10.622		isa-run/rv64uzba-v-sh1add_uw/simulation.log		isa-run
rv64uzba-v-sh2add	isa	PASS	0	10.982		isa-run/rv64uzba-v-sh2add/simulation.log		isa-run
rv64uzba-v-sh2add_uw	isa	PASS	0	10.979		isa-run/rv64uzba-v-sh2add_uw/simulation.log		isa-run
rv64uzba-v-sh3add	isa	PASS	0	11.023		isa-run/rv64uzba-v-sh3add/simulation.log		isa-run
rv64uzba-v-sh3add_uw	isa	PASS	0	10.473		isa-run/rv64uzba-v-sh3add_uw/simulation.log		isa-run
rv64uzba-v-slli_uw	isa	PASS	0	10.527		isa-run/rv64uzba-v-slli_uw/simulation.log		isa-run
rv64uzbb-p-andn	isa	PASS	0	2.126		isa-run/rv64uzbb-p-andn/simulation.log		isa-run
rv64uzbb-p-clz	isa	PASS	0	1.575		isa-run/rv64uzbb-p-clz/simulation.log		isa-run
rv64uzbb-p-clzw	isa	PASS	0	1.475		isa-run/rv64uzbb-p-clzw/simulation.log		isa-run
rv64uzbb-p-cpop	isa	PASS	0	1.624		isa-run/rv64uzbb-p-cpop/simulation.log		isa-run
rv64uzbb-p-cpopw	isa	PASS	0	1.475		isa-run/rv64uzbb-p-cpopw/simulation.log		isa-run
rv64uzbb-p-ctz	isa	PASS	0	1.477		isa-run/rv64uzbb-p-ctz/simulation.log		isa-run
rv64uzbb-p-ctzw	isa	PASS	0	1.526		isa-run/rv64uzbb-p-ctzw/simulation.log		isa-run
rv64uzbb-p-max	isa	PASS	0	1.976		isa-run/rv64uzbb-p-max/simulation.log		isa-run
rv64uzbb-p-maxu	isa	PASS	0	1.926		isa-run/rv64uzbb-p-maxu/simulation.log		isa-run
rv64uzbb-p-min	isa	PASS	0	2.03		isa-run/rv64uzbb-p-min/simulation.log		isa-run
rv64uzbb-p-minu	isa	PASS	0	2.232		isa-run/rv64uzbb-p-minu/simulation.log		isa-run
rv64uzbb-p-orc_b	isa	PASS	0	1.829		isa-run/rv64uzbb-p-orc_b/simulation.log		isa-run
rv64uzbb-p-orn	isa	PASS	0	2.432		isa-run/rv64uzbb-p-orn/simulation.log		isa-run
rv64uzbb-p-rev8	isa	PASS	0	1.679		isa-run/rv64uzbb-p-rev8/simulation.log		isa-run
rv64uzbb-p-rol	isa	PASS	0	2.178		isa-run/rv64uzbb-p-rol/simulation.log		isa-run
rv64uzbb-p-rolw	isa	PASS	0	2.491		isa-run/rv64uzbb-p-rolw/simulation.log		isa-run
rv64uzbb-p-ror	isa	PASS	0	2.482		isa-run/rv64uzbb-p-ror/simulation.log		isa-run
rv64uzbb-p-rori	isa	PASS	0	1.731		isa-run/rv64uzbb-p-rori/simulation.log		isa-run
rv64uzbb-p-roriw	isa	PASS	0	1.676		isa-run/rv64uzbb-p-roriw/simulation.log		isa-run
rv64uzbb-p-rorw	isa	PASS	0	1.976		isa-run/rv64uzbb-p-rorw/simulation.log		isa-run
rv64uzbb-p-sext_b	isa	PASS	0	1.525		isa-run/rv64uzbb-p-sext_b/simulation.log		isa-run
rv64uzbb-p-sext_h	isa	PASS	0	1.474		isa-run/rv64uzbb-p-sext_h/simulation.log		isa-run
rv64uzbb-p-xnor	isa	PASS	0	2.232		isa-run/rv64uzbb-p-xnor/simulation.log		isa-run
rv64uzbb-p-zext_h	isa	PASS	0	1.725		isa-run/rv64uzbb-p-zext_h/simulation.log		isa-run
rv64uzbb-v-andn	isa	PASS	0	18.47		isa-run/rv64uzbb-v-andn/simulation.log		isa-run
rv64uzbb-v-clz	isa	PASS	0	10.58		isa-run/rv64uzbb-v-clz/simulation.log		isa-run
rv64uzbb-v-clzw	isa	PASS	0	10.727		isa-run/rv64uzbb-v-clzw/simulation.log		isa-run
rv64uzbb-v-cpop	isa	PASS	0	9.918		isa-run/rv64uzbb-v-cpop/simulation.log		isa-run
rv64uzbb-v-cpopw	isa	PASS	0	10.22		isa-run/rv64uzbb-v-cpopw/simulation.log		isa-run
rv64uzbb-v-ctz	isa	PASS	0	10.369		isa-run/rv64uzbb-v-ctz/simulation.log		isa-run
rv64uzbb-v-ctzw	isa	PASS	0	10.828		isa-run/rv64uzbb-v-ctzw/simulation.log		isa-run
rv64uzbb-v-max	isa	PASS	0	11.58		isa-run/rv64uzbb-v-max/simulation.log		isa-run
rv64uzbb-v-maxu	isa	PASS	0	23.172		isa-run/rv64uzbb-v-maxu/simulation.log		isa-run
rv64uzbb-v-min	isa	PASS	0	13.452		isa-run/rv64uzbb-v-min/simulation.log		isa-run
rv64uzbb-v-minu	isa	PASS	0	13.508		isa-run/rv64uzbb-v-minu/simulation.log		isa-run
rv64uzbb-v-orc_b	isa	PASS	0	13.253		isa-run/rv64uzbb-v-orc_b/simulation.log		isa-run
rv64uzbb-v-orn	isa	PASS	0	22.955		isa-run/rv64uzbb-v-orn/simulation.log		isa-run
rv64uzbb-v-rev8	isa	PASS	0	12.391		isa-run/rv64uzbb-v-rev8/simulation.log		isa-run
rv64uzbb-v-rol	isa	PASS	0	23.354		isa-run/rv64uzbb-v-rol/simulation.log		isa-run
rv64uzbb-v-rolw	isa	PASS	0	23.558		isa-run/rv64uzbb-v-rolw/simulation.log		isa-run
rv64uzbb-v-ror	isa	PASS	0	22.873		isa-run/rv64uzbb-v-ror/simulation.log		isa-run
rv64uzbb-v-rori	isa	PASS	0	12.339		isa-run/rv64uzbb-v-rori/simulation.log		isa-run
rv64uzbb-v-roriw	isa	PASS	0	12.847		isa-run/rv64uzbb-v-roriw/simulation.log		isa-run
rv64uzbb-v-rorw	isa	PASS	0	21.904		isa-run/rv64uzbb-v-rorw/simulation.log		isa-run
rv64uzbb-v-sext_b	isa	PASS	0	13.755		isa-run/rv64uzbb-v-sext_b/simulation.log		isa-run
rv64uzbb-v-sext_h	isa	PASS	0	13.954		isa-run/rv64uzbb-v-sext_h/simulation.log		isa-run
rv64uzbb-v-xnor	isa	PASS	0	22.31		isa-run/rv64uzbb-v-xnor/simulation.log		isa-run
rv64uzbb-v-zext_h	isa	PASS	0	12.089		isa-run/rv64uzbb-v-zext_h/simulation.log		isa-run
rv64uzbc-p-clmul	isa	FAIL	255	1.428		isa-run/rv64uzbc-p-clmul/simulation.log	668	isa-run
rv64uzbc-p-clmulh	isa	FAIL	255	1.426		isa-run/rv64uzbc-p-clmulh/simulation.log	668	isa-run
rv64uzbc-p-clmulr	isa	FAIL	255	1.631		isa-run/rv64uzbc-p-clmulr/simulation.log	668	isa-run
rv64uzbc-v-clmul	isa	WALL_TIMEOUT	0	300.068		isa-run/rv64uzbc-v-clmul/simulation.log		isa-run
rv64uzbc-v-clmulh	isa	WALL_TIMEOUT	0	300.012		isa-run/rv64uzbc-v-clmulh/simulation.log		isa-run
rv64uzbc-v-clmulr	isa	WALL_TIMEOUT	0	300.116		isa-run/rv64uzbc-v-clmulr/simulation.log		isa-run
rv64uzbs-p-bclr	isa	PASS	0	2.229		isa-run/rv64uzbs-p-bclr/simulation.log		isa-run
rv64uzbs-p-bclri	isa	PASS	0	1.727		isa-run/rv64uzbs-p-bclri/simulation.log		isa-run
rv64uzbs-p-bext	isa	PASS	0	2.129		isa-run/rv64uzbs-p-bext/simulation.log		isa-run
rv64uzbs-p-bexti	isa	PASS	0	1.779		isa-run/rv64uzbs-p-bexti/simulation.log		isa-run
rv64uzbs-p-binv	isa	PASS	0	2.078		isa-run/rv64uzbs-p-binv/simulation.log		isa-run
rv64uzbs-p-binvi	isa	PASS	0	1.577		isa-run/rv64uzbs-p-binvi/simulation.log		isa-run
rv64uzbs-p-bset	isa	PASS	0	2.179		isa-run/rv64uzbs-p-bset/simulation.log		isa-run
rv64uzbs-p-bseti	isa	PASS	0	1.725		isa-run/rv64uzbs-p-bseti/simulation.log		isa-run
rv64uzbs-v-bclr	isa	PASS	0	17.971		isa-run/rv64uzbs-v-bclr/simulation.log		isa-run
rv64uzbs-v-bclri	isa	PASS	0	10.165		isa-run/rv64uzbs-v-bclri/simulation.log		isa-run
rv64uzbs-v-bext	isa	PASS	0	17.867		isa-run/rv64uzbs-v-bext/simulation.log		isa-run
rv64uzbs-v-bexti	isa	PASS	0	10.173		isa-run/rv64uzbs-v-bexti/simulation.log		isa-run
rv64uzbs-v-binv	isa	PASS	0	17.919		isa-run/rv64uzbs-v-binv/simulation.log		isa-run
rv64uzbs-v-binvi	isa	PASS	0	10.22		isa-run/rv64uzbs-v-binvi/simulation.log		isa-run
rv64uzbs-v-bset	isa	PASS	0	17.813		isa-run/rv64uzbs-v-bset/simulation.log		isa-run
rv64uzbs-v-bseti	isa	PASS	0	10.371		isa-run/rv64uzbs-v-bseti/simulation.log		isa-run
rv64uzfh-p-fadd	isa	PASS	0	1.574		isa-run/rv64uzfh-p-fadd/simulation.log		isa-run
rv64uzfh-p-fclass	isa	PASS	0	1.375		isa-run/rv64uzfh-p-fclass/simulation.log		isa-run
rv64uzfh-p-fcmp	isa	PASS	0	1.373		isa-run/rv64uzfh-p-fcmp/simulation.log		isa-run
rv64uzfh-p-fcvt	isa	PASS	0	1.477		isa-run/rv64uzfh-p-fcvt/simulation.log		isa-run
rv64uzfh-p-fcvt_w	isa	PASS	0	2.28		isa-run/rv64uzfh-p-fcvt_w/simulation.log		isa-run
rv64uzfh-p-fdiv	isa	PASS	0	1.423		isa-run/rv64uzfh-p-fdiv/simulation.log		isa-run
rv64uzfh-p-fmadd	isa	PASS	0	1.577		isa-run/rv64uzfh-p-fmadd/simulation.log		isa-run
rv64uzfh-p-fmin	isa	PASS	0	1.826		isa-run/rv64uzfh-p-fmin/simulation.log		isa-run
rv64uzfh-p-ldst	isa	PASS	0	1.176		isa-run/rv64uzfh-p-ldst/simulation.log		isa-run
rv64uzfh-p-move	isa	PASS	0	1.575		isa-run/rv64uzfh-p-move/simulation.log		isa-run
rv64uzfh-p-recoding	isa	PASS	0	1.222		isa-run/rv64uzfh-p-recoding/simulation.log		isa-run
rv64uzfh-v-fadd	isa	PASS	0	17.264		isa-run/rv64uzfh-v-fadd/simulation.log		isa-run
rv64uzfh-v-fclass	isa	PASS	0	9.916		isa-run/rv64uzfh-v-fclass/simulation.log		isa-run
rv64uzfh-v-fcmp	isa	PASS	0	16.657		isa-run/rv64uzfh-v-fcmp/simulation.log		isa-run
rv64uzfh-v-fcvt	isa	PASS	0	17.258		isa-run/rv64uzfh-v-fcvt/simulation.log		isa-run
rv64uzfh-v-fcvt_w	isa	PASS	0	25.748		isa-run/rv64uzfh-v-fcvt_w/simulation.log		isa-run
rv64uzfh-v-fdiv	isa	PASS	0	17.256		isa-run/rv64uzfh-v-fdiv/simulation.log		isa-run
rv64uzfh-v-fmadd	isa	PASS	0	17.158		isa-run/rv64uzfh-v-fmadd/simulation.log		isa-run
rv64uzfh-v-fmin	isa	PASS	0	17.007		isa-run/rv64uzfh-v-fmin/simulation.log		isa-run
rv64uzfh-v-ldst	isa	PASS	0	16.154		isa-run/rv64uzfh-v-ldst/simulation.log		isa-run
rv64uzfh-v-move	isa	PASS	0	10.326		isa-run/rv64uzfh-v-move/simulation.log		isa-run
rv64uzfh-v-recoding	isa	PASS	0	14.434		isa-run/rv64uzfh-v-recoding/simulation.log		isa-run
spmv	benchmark-configured	PASS	0	78.176		bench-run/spmv/simulation.log		bench-run
towers	benchmark-configured	PASS	0	13.398		bench-run/towers/simulation.log		bench-run
vvadd	benchmark-configured	PASS	0	11.179		bench-run/vvadd/simulation.log		bench-run
