test	suite	result	exit_status	wall_seconds	cycles	log	tohost_exit	campaign
legacy-du_matmul-dual	legacy-mt	FAIL	255	47.096		bench-run/legacy-du_matmul-dual/simulation.log	1	bench-run
legacy-dv_matmul-dual	legacy-mt	WALL_TIMEOUT	-9	605.011		bench-run/legacy-dv_matmul-dual/simulation.log		bench-run
legacy-vvadd0-dual	legacy-mt	PASS	0	49.457		bench-run/legacy-vvadd0-dual/simulation.log		bench-run
legacy-vvadd1-dual	legacy-mt	PASS	0	52.822		bench-run/legacy-vvadd1-dual/simulation.log		bench-run
legacy-vvadd2-dual	legacy-mt	PASS	0	64.809		bench-run/legacy-vvadd2-dual/simulation.log		bench-run
legacy-vvadd3-dual	legacy-mt	PASS	0	47.578		bench-run/legacy-vvadd3-dual/simulation.log		bench-run
legacy-vvadd4-dual	legacy-mt	PASS	0	66.992		bench-run/legacy-vvadd4-dual/simulation.log		bench-run
median	benchmark-configured	PASS	0	15.559		bench-run/median/simulation.log		bench-run
memcpy	benchmark-extra	PASS	0	37.781		bench-run/memcpy/simulation.log		bench-run
mm	benchmark-configured	PASS	0	216.655		bench-run/mm/simulation.log		bench-run
mt-matmul	benchmark-configured	PASS	0	36.211		bench-run/mt-matmul/simulation.log		bench-run
mt-matmul-dual	benchmark-dual	PASS	0	16.255		bench-run/mt-matmul-dual/simulation.log		bench-run
mt-memcpy	benchmark-extra	PASS	0	123.844		bench-run/mt-memcpy/simulation.log		bench-run
mt-memcpy-dual	benchmark-dual	PASS	0	87.629		bench-run/mt-memcpy-dual/simulation.log		bench-run
mt-vvadd	benchmark-configured	PASS	0	65.071		bench-run/mt-vvadd/simulation.log		bench-run
mt-vvadd-dual	benchmark-dual	PASS	0	66.491		bench-run/mt-vvadd-dual/simulation.log		bench-run
multiply	benchmark-configured	PASS	0	36.928		bench-run/multiply/simulation.log		bench-run
pmp	benchmark-configured	PASS	0	892.308		pmp-retry/pmp/simulation.log		pmp-retry
qsort	benchmark-configured	PASS	0	182.907		bench-run/qsort/simulation.log		bench-run
rsort	benchmark-configured	PASS	0	257.58		bench-run/rsort/simulation.log		bench-run
rv64mi-p-access	isa	PASS	0	1.792		isa-run/rv64mi-p-access/simulation.log		isa-run
rv64mi-p-breakpoint	isa	PASS	0	1.741		isa-run/rv64mi-p-breakpoint/simulation.log		isa-run
rv64mi-p-csr	isa	PASS	0	2.19		isa-run/rv64mi-p-csr/simulation.log		isa-run
rv64mi-p-illegal	isa	PASS	0	2.234		isa-run/rv64mi-p-illegal/simulation.log		isa-run
rv64mi-p-ld-misaligned	isa	PASS	0	2.589		isa-run/rv64mi-p-ld-misaligned/simulation.log		isa-run
rv64mi-p-lh-misaligned	isa	PASS	0	1.629		isa-run/rv64mi-p-lh-misaligned/simulation.log		isa-run
rv64mi-p-lw-misaligned	isa	PASS	0	1.725		isa-run/rv64mi-p-lw-misaligned/simulation.log		isa-run
rv64mi-p-ma_addr	isa	PASS	0	2.791		isa-run/rv64mi-p-ma_addr/simulation.log		isa-run
rv64mi-p-ma_fetch	isa	PASS	0	1.935		isa-run/rv64mi-p-ma_fetch/simulation.log		isa-run
rv64mi-p-mcsr	isa	PASS	0	1.685		isa-run/rv64mi-p-mcsr/simulation.log		isa-run
rv64mi-p-sbreak	isa	PASS	0	1.531		isa-run/rv64mi-p-sbreak/simulation.log		isa-run
rv64mi-p-scall	isa	PASS	0	2.799		isa-run/rv64mi-p-scall/simulation.log		isa-run
rv64mi-p-sd-misaligned	isa	PASS	0	4.944		isa-run/rv64mi-p-sd-misaligned/simulation.log		isa-run
rv64mi-p-sh-misaligned	isa	PASS	0	4.693		isa-run/rv64mi-p-sh-misaligned/simulation.log		isa-run
rv64mi-p-sw-misaligned	isa	PASS	0	5.897		isa-run/rv64mi-p-sw-misaligned/simulation.log		isa-run
rv64mi-p-zicntr	isa	PASS	0	4.255		isa-run/rv64mi-p-zicntr/simulation.log		isa-run
rv64mzicbo-p-zero	isa	FAIL	255	4.238		isa-run/rv64mzicbo-p-zero/simulation.log	668	isa-run
rv64si-p-csr	isa	PASS	0	4.287		isa-run/rv64si-p-csr/simulation.log		isa-run
rv64si-p-dirty	isa	PASS	0	4.792		isa-run/rv64si-p-dirty/simulation.log		isa-run
rv64si-p-icache-alias	isa	PASS	0	4.039		isa-run/rv64si-p-icache-alias/simulation.log		isa-run
rv64si-p-ma_fetch	isa	PASS	0	2.639		isa-run/rv64si-p-ma_fetch/simulation.log		isa-run
rv64si-p-sbreak	isa	PASS	0	2.516		isa-run/rv64si-p-sbreak/simulation.log		isa-run
rv64si-p-scall	isa	PASS	0	3.074		isa-run/rv64si-p-scall/simulation.log		isa-run
rv64si-p-wfi	isa	PASS	0	4.235		isa-run/rv64si-p-wfi/simulation.log		isa-run
rv64ssvnapot-p-napot	isa	PASS	0	4.182		isa-run/rv64ssvnapot-p-napot/simulation.log		isa-run
rv64ua-p-amoadd_d	isa	PASS	0	4.19		isa-run/rv64ua-p-amoadd_d/simulation.log		isa-run
rv64ua-p-amoadd_w	isa	PASS	0	2.857		isa-run/rv64ua-p-amoadd_w/simulation.log		isa-run
rv64ua-p-amoand_d	isa	PASS	0	3.109		isa-run/rv64ua-p-amoand_d/simulation.log		isa-run
rv64ua-p-amoand_w	isa	PASS	0	3.822		isa-run/rv64ua-p-amoand_w/simulation.log		isa-run
rv64ua-p-amomax_d	isa	PASS	0	3.275		isa-run/rv64ua-p-amomax_d/simulation.log		isa-run
rv64ua-p-amomax_w	isa	PASS	0	2.717		isa-run/rv64ua-p-amomax_w/simulation.log		isa-run
rv64ua-p-amomaxu_d	isa	PASS	0	3.308		isa-run/rv64ua-p-amomaxu_d/simulation.log		isa-run
rv64ua-p-amomaxu_w	isa	PASS	0	3.522		isa-run/rv64ua-p-amomaxu_w/simulation.log		isa-run
rv64ua-p-amomin_d	isa	PASS	0	4.025		isa-run/rv64ua-p-amomin_d/simulation.log		isa-run
rv64ua-p-amomin_w	isa	PASS	0	3.372		isa-run/rv64ua-p-amomin_w/simulation.log		isa-run
rv64ua-p-amominu_d	isa	PASS	0	4.032		isa-run/rv64ua-p-amominu_d/simulation.log		isa-run
rv64ua-p-amominu_w	isa	PASS	0	4.032		isa-run/rv64ua-p-amominu_w/simulation.log		isa-run
rv64ua-p-amoor_d	isa	PASS	0	4.024		isa-run/rv64ua-p-amoor_d/simulation.log		isa-run
rv64ua-p-amoor_w	isa	PASS	0	3.618		isa-run/rv64ua-p-amoor_w/simulation.log		isa-run
rv64ua-p-amoswap_d	isa	PASS	0	3.415		isa-run/rv64ua-p-amoswap_d/simulation.log		isa-run
rv64ua-p-amoswap_w	isa	PASS	0	3.528		isa-run/rv64ua-p-amoswap_w/simulation.log		isa-run
rv64ua-p-amoxor_d	isa	PASS	0	3.59		isa-run/rv64ua-p-amoxor_d/simulation.log		isa-run
rv64ua-p-amoxor_w	isa	PASS	0	3.271		isa-run/rv64ua-p-amoxor_w/simulation.log		isa-run
rv64ua-p-lrsc	isa	PASS	0	11.419		isa-run/rv64ua-p-lrsc/simulation.log		isa-run
rv64ua-v-amoadd_d	isa	PASS	0	25.633		isa-run/rv64ua-v-amoadd_d/simulation.log		isa-run
rv64ua-v-amoadd_w	isa	PASS	0	23.717		isa-run/rv64ua-v-amoadd_w/simulation.log		isa-run
rv64ua-v-amoand_d	isa	PASS	0	19.244		isa-run/rv64ua-v-amoand_d/simulation.log		isa-run
rv64ua-v-amoand_w	isa	PASS	0	17.466		isa-run/rv64ua-v-amoand_w/simulation.log		isa-run
rv64ua-v-amomax_d	isa	PASS	0	16.208		isa-run/rv64ua-v-amomax_d/simulation.log		isa-run
rv64ua-v-amomax_w	isa	PASS	0	16.969		isa-run/rv64ua-v-amomax_w/simulation.log		isa-run
rv64ua-v-amomaxu_d	isa	PASS	0	16.142		isa-run/rv64ua-v-amomaxu_d/simulation.log		isa-run
rv64ua-v-amomaxu_w	isa	PASS	0	13.631		isa-run/rv64ua-v-amomaxu_w/simulation.log		isa-run
rv64ua-v-amomin_d	isa	PASS	0	16.141		isa-run/rv64ua-v-amomin_d/simulation.log		isa-run
rv64ua-v-amomin_w	isa	PASS	0	14.386		isa-run/rv64ua-v-amomin_w/simulation.log		isa-run
rv64ua-v-amominu_d	isa	PASS	0	15.645		isa-run/rv64ua-v-amominu_d/simulation.log		isa-run
rv64ua-v-amominu_w	isa	PASS	0	14.25		isa-run/rv64ua-v-amominu_w/simulation.log		isa-run
rv64ua-v-amoor_d	isa	PASS	0	14.038		isa-run/rv64ua-v-amoor_d/simulation.log		isa-run
rv64ua-v-amoor_w	isa	PASS	0	14.199		isa-run/rv64ua-v-amoor_w/simulation.log		isa-run
rv64ua-v-amoswap_d	isa	PASS	0	14.84		isa-run/rv64ua-v-amoswap_d/simulation.log		isa-run
rv64ua-v-amoswap_w	isa	PASS	0	15.835		isa-run/rv64ua-v-amoswap_w/simulation.log		isa-run
rv64ua-v-amoxor_d	isa	PASS	0	16.135		isa-run/rv64ua-v-amoxor_d/simulation.log		isa-run
rv64ua-v-amoxor_w	isa	PASS	0	12.425		isa-run/rv64ua-v-amoxor_w/simulation.log		isa-run
rv64ua-v-lrsc	isa	PASS	0	19.058		isa-run/rv64ua-v-lrsc/simulation.log		isa-run
rv64uc-p-rvc	isa	PASS	0	1.577		isa-run/rv64uc-p-rvc/simulation.log		isa-run
rv64uc-v-rvc	isa	PASS	0	24.493		isa-run/rv64uc-v-rvc/simulation.log		isa-run
rv64ud-p-fadd	isa	PASS	0	1.677		isa-run/rv64ud-p-fadd/simulation.log		isa-run
rv64ud-p-fclass	isa	PASS	0	1.477		isa-run/rv64ud-p-fclass/simulation.log		isa-run
rv64ud-p-fcmp	isa	PASS	0	1.828		isa-run/rv64ud-p-fcmp/simulation.log		isa-run
rv64ud-p-fcvt	isa	PASS	0	1.074		isa-run/rv64ud-p-fcvt/simulation.log		isa-run
rv64ud-p-fcvt_w	isa	PASS	0	2.776		isa-run/rv64ud-p-fcvt_w/simulation.log		isa-run
rv64ud-p-fdiv	isa	PASS	0	1.723		isa-run/rv64ud-p-fdiv/simulation.log		isa-run
rv64ud-p-fmadd	isa	PASS	0	1.828		isa-run/rv64ud-p-fmadd/simulation.log		isa-run
rv64ud-p-fmin	isa	PASS	0	1.978		isa-run/rv64ud-p-fmin/simulation.log		isa-run
rv64ud-p-ldst	isa	PASS	0	1.324		isa-run/rv64ud-p-ldst/simulation.log		isa-run
rv64ud-p-move	isa	PASS	0	3.542		isa-run/rv64ud-p-move/simulation.log		isa-run
rv64ud-p-recoding	isa	PASS	0	1.578		isa-run/rv64ud-p-recoding/simulation.log		isa-run
rv64ud-p-structural	isa	PASS	0	1.681		isa-run/rv64ud-p-structural/simulation.log		isa-run
rv64ud-v-fadd	isa	PASS	0	16.957		isa-run/rv64ud-v-fadd/simulation.log		isa-run
rv64ud-v-fclass	isa	PASS	0	10.118		isa-run/rv64ud-v-fclass/simulation.log		isa-run
rv64ud-v-fcmp	isa	PASS	0	17.912		isa-run/rv64ud-v-fcmp/simulation.log		isa-run
rv64ud-v-fcvt	isa	PASS	0	17.767		isa-run/rv64ud-v-fcvt/simulation.log		isa-run
rv64ud-v-fcvt_w	isa	PASS	0	26.406		isa-run/rv64ud-v-fcvt_w/simulation.log		isa-run
rv64ud-v-fdiv	isa	PASS	0	18.119		isa-run/rv64ud-v-fdiv/simulation.log		isa-run
rv64ud-v-fmadd	isa	PASS	0	17.606		isa-run/rv64ud-v-fmadd/simulation.log		isa-run
rv64ud-v-fmin	isa	PASS	0	19.58		isa-run/rv64ud-v-fmin/simulation.log		isa-run
rv64ud-v-ldst	isa	PASS	0	18.167		isa-run/rv64ud-v-ldst/simulation.log		isa-run
rv64ud-v-move	isa	PASS	0	20.985		isa-run/rv64ud-v-move/simulation.log		isa-run
rv64ud-v-recoding	isa	PASS	0	17.163		isa-run/rv64ud-v-recoding/simulation.log		isa-run
rv64ud-v-structural	isa	PASS	0	10.375		isa-run/rv64ud-v-structural/simulation.log		isa-run
rv64uf-p-fadd	isa	PASS	0	1.779		isa-run/rv64uf-p-fadd/simulation.log		isa-run
rv64uf-p-fclass	isa	PASS	0	1.475		isa-run/rv64uf-p-fclass/simulation.log		isa-run
rv64uf-p-fcmp	isa	PASS	0	1.732		isa-run/rv64uf-p-fcmp/simulation.log		isa-run
rv64uf-p-fcvt	isa	PASS	0	1.274		isa-run/rv64uf-p-fcvt/simulation.log		isa-run
rv64uf-p-fcvt_w	isa	PASS	0	2.429		isa-run/rv64uf-p-fcvt_w/simulation.log		isa-run
rv64uf-p-fdiv	isa	PASS	0	1.526		isa-run/rv64uf-p-fdiv/simulation.log		isa-run
rv64uf-p-fmadd	isa	PASS	0	1.734		isa-run/rv64uf-p-fmadd/simulation.log		isa-run
rv64uf-p-fmin	isa	PASS	0	2.081		isa-run/rv64uf-p-fmin/simulation.log		isa-run
rv64uf-p-ldst	isa	PASS	0	1.176		isa-run/rv64uf-p-ldst/simulation.log		isa-run
rv64uf-p-move	isa	PASS	0	1.575		isa-run/rv64uf-p-move/simulation.log		isa-run
rv64uf-p-recoding	isa	PASS	0	1.273		isa-run/rv64uf-p-recoding/simulation.log		isa-run
rv64uf-v-fadd	isa	PASS	0	17.71		isa-run/rv64uf-v-fadd/simulation.log		isa-run
rv64uf-v-fclass	isa	PASS	0	9.966		isa-run/rv64uf-v-fclass/simulation.log		isa-run
rv64uf-v-fcmp	isa	PASS	0	17.864		isa-run/rv64uf-v-fcmp/simulation.log		isa-run
rv64uf-v-fcvt	isa	PASS	0	17.768		isa-run/rv64uf-v-fcvt/simulation.log		isa-run
rv64uf-v-fcvt_w	isa	PASS	0	30.251		isa-run/rv64uf-v-fcvt_w/simulation.log		isa-run
rv64uf-v-fdiv	isa	PASS	0	19.989		isa-run/rv64uf-v-fdiv/simulation.log		isa-run
rv64uf-v-fmadd	isa	PASS	0	21.699		isa-run/rv64uf-v-fmadd/simulation.log		isa-run
rv64uf-v-fmin	isa	PASS	0	20.846		isa-run/rv64uf-v-fmin/simulation.log		isa-run
rv64uf-v-ldst	isa	PASS	0	18.317		isa-run/rv64uf-v-ldst/simulation.log		isa-run
rv64uf-v-move	isa	PASS	0	11.028		isa-run/rv64uf-v-move/simulation.log		isa-run
rv64uf-v-recoding	isa	PASS	0	17.667		isa-run/rv64uf-v-recoding/simulation.log		isa-run
rv64ui-p-add	isa	PASS	0	1.925		isa-run/rv64ui-p-add/simulation.log		isa-run
rv64ui-p-addi	isa	PASS	0	1.779		isa-run/rv64ui-p-addi/simulation.log		isa-run
rv64ui-p-addiw	isa	PASS	0	1.675		isa-run/rv64ui-p-addiw/simulation.log		isa-run
rv64ui-p-addw	isa	PASS	0	2.032		isa-run/rv64ui-p-addw/simulation.log		isa-run
rv64ui-p-and	isa	PASS	0	2.131		isa-run/rv64ui-p-and/simulation.log		isa-run
rv64ui-p-andi	isa	PASS	0	1.477		isa-run/rv64ui-p-andi/simulation.log		isa-run
rv64ui-p-auipc	isa	PASS	0	1.222		isa-run/rv64ui-p-auipc/simulation.log		isa-run
rv64ui-p-beq	isa	PASS	0	1.675		isa-run/rv64ui-p-beq/simulation.log		isa-run
rv64ui-p-bge	isa	PASS	0	1.93		isa-run/rv64ui-p-bge/simulation.log		isa-run
rv64ui-p-bgeu	isa	PASS	0	2.032		isa-run/rv64ui-p-bgeu/simulation.log		isa-run
rv64ui-p-blt	isa	PASS	0	1.577		isa-run/rv64ui-p-blt/simulation.log		isa-run
rv64ui-p-bltu	isa	PASS	0	1.775		isa-run/rv64ui-p-bltu/simulation.log		isa-run
rv64ui-p-bne	isa	PASS	0	1.778		isa-run/rv64ui-p-bne/simulation.log		isa-run
rv64ui-p-fence_i	isa	PASS	0	1.425		isa-run/rv64ui-p-fence_i/simulation.log		isa-run
rv64ui-p-jal	isa	PASS	0	1.222		isa-run/rv64ui-p-jal/simulation.log		isa-run
rv64ui-p-jalr	isa	PASS	0	1.374		isa-run/rv64ui-p-jalr/simulation.log		isa-run
rv64ui-p-lb	isa	PASS	0	1.526		isa-run/rv64ui-p-lb/simulation.log		isa-run
rv64ui-p-lbu	isa	PASS	0	1.729		isa-run/rv64ui-p-lbu/simulation.log		isa-run
rv64ui-p-ld	isa	PASS	0	2.283		isa-run/rv64ui-p-ld/simulation.log		isa-run
rv64ui-p-lh	isa	PASS	0	1.933		isa-run/rv64ui-p-lh/simulation.log		isa-run
rv64ui-p-lhu	isa	PASS	0	1.834		isa-run/rv64ui-p-lhu/simulation.log		isa-run
rv64ui-p-lui	isa	PASS	0	1.222		isa-run/rv64ui-p-lui/simulation.log		isa-run
rv64ui-p-lw	isa	PASS	0	1.781		isa-run/rv64ui-p-lw/simulation.log		isa-run
rv64ui-p-lwu	isa	PASS	0	2.038		isa-run/rv64ui-p-lwu/simulation.log		isa-run
rv64ui-p-ma_data	isa	FAIL	255	1.275		isa-run/rv64ui-p-ma_data/simulation.log	668	isa-run
rv64ui-p-or	isa	PASS	0	2.186		isa-run/rv64ui-p-or/simulation.log		isa-run
rv64ui-p-ori	isa	PASS	0	1.475		isa-run/rv64ui-p-ori/simulation.log		isa-run
rv64ui-p-sb	isa	PASS	0	1.98		isa-run/rv64ui-p-sb/simulation.log		isa-run
rv64ui-p-sd	isa	PASS	0	2.43		isa-run/rv64ui-p-sd/simulation.log		isa-run
rv64ui-p-sh	isa	PASS	0	2.029		isa-run/rv64ui-p-sh/simulation.log		isa-run
rv64ui-p-simple	isa	PASS	0	1.071		isa-run/rv64ui-p-simple/simulation.log		isa-run
rv64ui-p-sll	isa	PASS	0	2.079		isa-run/rv64ui-p-sll/simulation.log		isa-run
rv64ui-p-slli	isa	PASS	0	1.627		isa-run/rv64ui-p-slli/simulation.log		isa-run
rv64ui-p-slliw	isa	PASS	0	1.576		isa-run/rv64ui-p-slliw/simulation.log		isa-run
rv64ui-p-sllw	isa	PASS	0	2.181		isa-run/rv64ui-p-sllw/simulation.log		isa-run
rv64ui-p-slt	isa	PASS	0	1.979		isa-run/rv64ui-p-slt/simulation.log		isa-run
rv64ui-p-slti	isa	PASS	0	1.478		isa-run/rv64ui-p-slti/simulation.log		isa-run
rv64ui-p-sltiu	isa	PASS	0	1.879		isa-run/rv64ui-p-sltiu/simulation.log		isa-run
rv64ui-p-sltu	isa	PASS	0	2.435		isa-run/rv64ui-p-sltu/simulation.log		isa-run
rv64ui-p-sra	isa	PASS	0	2.284		isa-run/rv64ui-p-sra/simulation.log		isa-run
rv64ui-p-srai	isa	PASS	0	1.829		isa-run/rv64ui-p-srai/simulation.log		isa-run
rv64ui-p-sraiw	isa	PASS	0	2.082		isa-run/rv64ui-p-sraiw/simulation.log		isa-run
rv64ui-p-sraw	isa	PASS	0	2.686		isa-run/rv64ui-p-sraw/simulation.log		isa-run
rv64ui-p-srl	isa	PASS	0	2.536		isa-run/rv64ui-p-srl/simulation.log		isa-run
rv64ui-p-srli	isa	PASS	0	2.03		isa-run/rv64ui-p-srli/simulation.log		isa-run
rv64ui-p-srliw	isa	PASS	0	1.887		isa-run/rv64ui-p-srliw/simulation.log		isa-run
rv64ui-p-srlw	isa	PASS	0	2.634		isa-run/rv64ui-p-srlw/simulation.log		isa-run
rv64ui-p-sub	isa	PASS	0	2.533		isa-run/rv64ui-p-sub/simulation.log		isa-run
rv64ui-p-subw	isa	PASS	0	2.183		isa-run/rv64ui-p-subw/simulation.log		isa-run
rv64ui-p-sw	isa	PASS	0	2.639		isa-run/rv64ui-p-sw/simulation.log		isa-run
rv64ui-p-xor	isa	PASS	0	2.838		isa-run/rv64ui-p-xor/simulation.log		isa-run
rv64ui-p-xori	isa	PASS	0	1.937		isa-run/rv64ui-p-xori/simulation.log		isa-run
rv64ui-v-add	isa	PASS	0	14.107		isa-run/rv64ui-v-add/simulation.log		isa-run
