UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_0,0.000000e+00,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_1,3.750000e-06,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_2,7.500000e-06,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_3,1.125000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_4,1.500000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_5,1.875000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_6,2.250000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_7,2.625000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_8,3.000000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_9,3.375000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_10,3.750000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_11,4.125000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_12,4.500000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_13,4.875000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_14,5.250000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_15,5.625000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_16,6.000000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_17,6.375000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_18,6.750000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_19,7.125000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_20,7.500000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_21,7.875000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_22,8.250000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_23,8.625000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_24,9.000000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_25,9.375000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_26,9.750000e-05,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_27,1.012500e-04,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_28,1.050000e-04,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_29,1.087500e-04,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_30,1.125000e-04,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_31,1.162500e-04,0.000000e+00,3.750000e-06,3.750000e-06,,Si
unit_32,0.000000e+00,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_33,3.750000e-06,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_34,7.500000e-06,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_35,1.125000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_36,1.500000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_37,1.875000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_38,2.250000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_39,2.625000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_40,3.000000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_41,3.375000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_42,3.750000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_43,4.125000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_44,4.500000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_45,4.875000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_46,5.250000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_47,5.625000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_48,6.000000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_49,6.375000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_50,6.750000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_51,7.125000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_52,7.500000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_53,7.875000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_54,8.250000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_55,8.625000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_56,9.000000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_57,9.375000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_58,9.750000e-05,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_59,1.012500e-04,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_60,1.050000e-04,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_61,1.087500e-04,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_62,1.125000e-04,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_63,1.162500e-04,3.750000e-06,3.750000e-06,3.750000e-06,,Si
unit_64,0.000000e+00,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_65,3.750000e-06,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_66,7.500000e-06,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_67,1.125000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_68,1.500000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_69,1.875000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_70,2.250000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_71,2.625000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_72,3.000000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_73,3.375000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_74,3.750000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_75,4.125000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_76,4.500000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_77,4.875000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_78,5.250000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_79,5.625000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_80,6.000000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_81,6.375000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_82,6.750000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_83,7.125000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_84,7.500000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_85,7.875000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_86,8.250000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_87,8.625000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_88,9.000000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_89,9.375000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_90,9.750000e-05,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_91,1.012500e-04,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_92,1.050000e-04,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_93,1.087500e-04,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_94,1.125000e-04,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_95,1.162500e-04,7.500000e-06,3.750000e-06,3.750000e-06,,Si
unit_96,0.000000e+00,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_97,3.750000e-06,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_98,7.500000e-06,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_99,1.125000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_100,1.500000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_101,1.875000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_102,2.250000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_103,2.625000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_104,3.000000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_105,3.375000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_106,3.750000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_107,4.125000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_108,4.500000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_109,4.875000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_110,5.250000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_111,5.625000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_112,6.000000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_113,6.375000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_114,6.750000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_115,7.125000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_116,7.500000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_117,7.875000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_118,8.250000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_119,8.625000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_120,9.000000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_121,9.375000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_122,9.750000e-05,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_123,1.012500e-04,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_124,1.050000e-04,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_125,1.087500e-04,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_126,1.125000e-04,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_127,1.162500e-04,1.125000e-05,3.750000e-06,3.750000e-06,,Si
unit_128,0.000000e+00,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_129,3.750000e-06,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_130,7.500000e-06,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_131,1.125000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_132,1.500000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_133,1.875000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_134,2.250000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_135,2.625000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_136,3.000000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_137,3.375000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_138,3.750000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_139,4.125000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_140,4.500000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_141,4.875000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_142,5.250000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_143,5.625000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_144,6.000000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_145,6.375000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_146,6.750000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_147,7.125000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_148,7.500000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_149,7.875000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_150,8.250000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_151,8.625000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_152,9.000000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_153,9.375000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_154,9.750000e-05,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_155,1.012500e-04,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_156,1.050000e-04,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_157,1.087500e-04,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_158,1.125000e-04,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_159,1.162500e-04,1.500000e-05,3.750000e-06,3.750000e-06,,Si
unit_160,0.000000e+00,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_161,3.750000e-06,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_162,7.500000e-06,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_163,1.125000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_164,1.500000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_165,1.875000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_166,2.250000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_167,2.625000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_168,3.000000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_169,3.375000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_170,3.750000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_171,4.125000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_172,4.500000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_173,4.875000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_174,5.250000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_175,5.625000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_176,6.000000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_177,6.375000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_178,6.750000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_179,7.125000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_180,7.500000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_181,7.875000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_182,8.250000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_183,8.625000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_184,9.000000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_185,9.375000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_186,9.750000e-05,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_187,1.012500e-04,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_188,1.050000e-04,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_189,1.087500e-04,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_190,1.125000e-04,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_191,1.162500e-04,1.875000e-05,3.750000e-06,3.750000e-06,,Si
unit_192,0.000000e+00,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_193,3.750000e-06,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_194,7.500000e-06,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_195,1.125000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_196,1.500000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_197,1.875000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_198,2.250000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_199,2.625000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_200,3.000000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_201,3.375000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_202,3.750000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_203,4.125000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_204,4.500000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_205,4.875000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_206,5.250000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_207,5.625000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_208,6.000000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_209,6.375000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_210,6.750000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_211,7.125000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_212,7.500000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_213,7.875000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_214,8.250000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_215,8.625000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_216,9.000000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_217,9.375000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_218,9.750000e-05,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_219,1.012500e-04,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_220,1.050000e-04,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_221,1.087500e-04,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_222,1.125000e-04,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_223,1.162500e-04,2.250000e-05,3.750000e-06,3.750000e-06,,Si
unit_224,0.000000e+00,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_225,3.750000e-06,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_226,7.500000e-06,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_227,1.125000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_228,1.500000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_229,1.875000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_230,2.250000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_231,2.625000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_232,3.000000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_233,3.375000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_234,3.750000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_235,4.125000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_236,4.500000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_237,4.875000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_238,5.250000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_239,5.625000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_240,6.000000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_241,6.375000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_242,6.750000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_243,7.125000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_244,7.500000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_245,7.875000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_246,8.250000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_247,8.625000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_248,9.000000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_249,9.375000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_250,9.750000e-05,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_251,1.012500e-04,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_252,1.050000e-04,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_253,1.087500e-04,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_254,1.125000e-04,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_255,1.162500e-04,2.625000e-05,3.750000e-06,3.750000e-06,,Si
unit_256,0.000000e+00,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_257,3.750000e-06,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_258,7.500000e-06,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_259,1.125000e-05,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_260,1.500000e-05,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_261,1.875000e-05,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_262,2.250000e-05,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_263,2.625000e-05,3.000000e-05,3.750000e-06,3.750000e-06,,Si
unit_264,3.000000e-05,3.000000e-05,3.750000e-06,3.750000e-06,,Si
