UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_67,1.406250e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_68,1.875000e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_69,2.343750e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_70,2.812500e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_71,3.281250e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_72,3.750000e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_73,4.218750e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_74,4.687500e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_75,5.156250e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_76,5.625000e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_77,6.093750e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_78,6.562500e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_79,7.031250e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_80,7.500000e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_81,7.968750e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_82,8.437500e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_83,8.906250e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_84,9.375000e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_85,9.843750e-04,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_86,1.031250e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_87,1.078125e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_88,1.125000e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_89,1.171875e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_90,1.218750e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_91,1.265625e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_92,1.312500e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_93,1.359375e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_94,1.406250e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_95,1.453125e-03,9.375000e-05,4.687500e-05,4.687500e-05,,Si
unit_96,0.000000e+00,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_97,4.687500e-05,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_98,9.375000e-05,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_99,1.406250e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_100,1.875000e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_101,2.343750e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_102,2.812500e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_103,3.281250e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_104,3.750000e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_105,4.218750e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_106,4.687500e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_107,5.156250e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_108,5.625000e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_109,6.093750e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_110,6.562500e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_111,7.031250e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_112,7.500000e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_113,7.968750e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_114,8.437500e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_115,8.906250e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_116,9.375000e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_117,9.843750e-04,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_118,1.031250e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_119,1.078125e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_120,1.125000e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_121,1.171875e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_122,1.218750e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_123,1.265625e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_124,1.312500e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_125,1.359375e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_126,1.406250e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_127,1.453125e-03,1.406250e-04,4.687500e-05,4.687500e-05,,Si
unit_128,0.000000e+00,1.875000e-04,4.687500e-05,4.687500e-05,,Si
