UnitName,Power,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,Power101,Power102,Power103,Power104,Power105,Power106,Power107,Power108,Power109,Power110,Power111,Power112
Core0,10.329095,7.272385000000001,7.376492999999999,7.0932710000000005,7.065908,7.0483080000000005,7.024653999999999,7.02252,7.004237,6.846949,6.6175174,6.761021,14.1451005,12.373593,11.2645273,17.432624,19.073917,11.3044957,11.8618356,11.8732864,17.499275,19.226563,11.0145233,11.2950259,12.4854226,17.800889,17.578912,11.454362800000002,11.0465704,12.988629300000001,18.412426999999997,15.519754,12.1058927,10.933089500000001,13.6702124,17.022932,14.586808999999999,13.032302699999999,10.8248795,13.674914000000001,17.976091,12.869574,14.2855177,10.5833466,14.052836,19.014132,12.453147999999999,14.5900576,10.1339944,15.327951,18.961898,12.2541065,14.402671100000001,9.8690647,16.549344,19.184079,11.9779355,14.228918,9.8932778,16.864382,19.145097,11.8576507,13.9739424,10.0696209,17.072774,19.011814,11.657516699999999,12.9494573,10.8281561,17.102479000000002,19.116336999999998,11.4767832,12.4130169,11.1956521,17.452728,19.090573000000003,11.339865699999999,11.904053,11.808242800000002,17.471832,19.220519,11.050902800000001,11.341887,12.397902199999999,17.767119,17.751661,11.421762900000001,11.0455466,12.996276,18.241488,15.705974,12.061152400000001,10.9314894,13.6197616,17.002051,14.733148000000002,12.966730900000002,10.822887800000002,13.715924,17.844799,13.076094,14.109009099999998,10.6214993,13.848906,19.086179,12.418811,14.5728198,10.1940455,15.215497000000001,18.952437,12.249651199999999,14.4773897,9.8623086
Core1,7.321401,7.420905,7.3587039999999995,7.087027,7.0510589999999995,7.043288,7.015202,7.0240990000000005,6.976044,6.836464,6.848909,6.81947,13.824463199999999,12.4494469,11.2655478,17.208188,19.186184,11.1252091,11.9600432,11.681974499999999,17.483276,19.228631,10.9508106,11.4089836,12.2490534,17.982688,17.542373,11.2867683,10.9543061,13.3195165,17.97999,15.636605,11.9267846,10.840224300000001,13.7813593,17.025087,14.583878,12.8379353,10.7306102,13.794498999999998,17.762982,13.026283,14.054782000000001,10.617726300000001,13.953173999999999,18.875404,12.384194,14.591159099999999,10.1288943,15.212851,19.065151999999998,12.0906955,14.4069725,9.860778,16.402402,19.087479000000002,11.952364,14.232428099999998,9.9315955,16.817629,18.966043,11.760896800000001,13.9776609,10.0948566,16.854535000000002,19.064722,11.552311900000001,13.0302231,10.651105000000001,17.193801,19.001739999999998,11.4263506,12.4904765,11.215579400000001,17.203611,19.207539,11.158083300000001,11.998955800000001,11.6271429,17.437425,19.215774,10.988601,11.4638677,12.1609897,17.942869,17.718928,11.2543769,10.9633233,13.228478400000002,17.933802,15.811310999999998,11.883894699999999,10.8383226,13.726073800000002,17.012667999999998,14.729014999999999,12.773686999999999,10.7267106,13.840558999999999,17.674654,13.204444,13.8824635,10.6585437,13.802313,18.855817000000002,12.359763000000001,14.574323199999998,10.187241499999999,15.060562,19.082461,12.1009653,14.477785399999998,10.038455599999999
Core2,7.343744,7.408131,7.3598740000000005,7.098358,7.052271000000001,7.046537,7.008850999999999,7.015041,7.005032000000001,6.841405,6.891153,6.826983,13.821631,12.6345983,10.7072968,17.338146,19.215066,11.108638800000001,12.5335758,10.704361500000001,17.844071,19.034292999999998,10.938027499999999,12.2121061,11.118535099999999,17.858345,17.502805,11.287858900000002,10.9202629,12.953270199999999,17.999655999999998,15.626239000000002,11.9268698,10.8100989,13.3964475,17.033693,14.587753,12.8388198,10.7001864,13.422578,17.813781,12.991309,14.0555432,10.335975900000001,13.969026999999999,19.043571,12.259018,14.589035,9.8474643,15.22212,19.066934,12.0843112,14.4048715,9.5847111,16.643784,18.944195999999998,11.8828703,14.2295229,9.6831358,16.769297,19.076660999999998,11.6869132,13.975151199999999,9.724508300000002,17.085964,18.990717999999998,11.538832300000001,13.0708388,10.4055634,17.096745000000002,19.176859,11.280349800000002,12.639216099999999,10.6776356,17.353042000000002,19.236121,11.137700500000001,12.5399832,10.6923139,17.79425,19.024542,10.9787098,12.2517461,11.066071800000001,17.821382999999997,17.68587,11.254360499999999,10.9439397,12.8244013,17.976218,15.805648000000001,11.8845797,10.805988300000001,13.347805900000001,17.017441,14.732794,12.7737654,10.6971886,13.467331,17.727957,13.166994,13.881514800000001,10.3766927,13.827534,19.036186999999998,12.217331,14.5730999,9.905902099999999,15.0719,19.093073999999998,12.0871712,14.4773822,10.7000416
Core3,7.335509,7.411122,7.3191429999999995,7.053602000000001,7.070139999999999,7.044817999999999,7.019562,7.015280000000001,7.003224,6.839399,6.869388000000001,6.798596000000001,13.827346100000002,12.4256659,10.7635586,17.699195,19.002109,11.1425406,11.9060662,11.3713703,17.723009,19.198926,10.852827699999999,11.31669,12.057486599999999,17.882891,17.542467000000002,11.2881538,10.912128599999999,12.93099,18.238749,15.465048999999999,11.926655199999999,10.7998576,13.425158999999999,17.02346,14.58666,12.8359961,10.7083175,13.420231,17.937735999999997,12.903258000000001,14.0558441,10.3045625,14.085576999999999,18.909865,12.290325,14.590534900000002,9.8506845,15.368653,18.914949,12.069557000000001,14.405060699999998,9.5912996,16.600206,19.017114000000003,11.8619336,14.231527999999999,9.586867199999999,16.977997,19.010696,11.7092905,13.978960500000001,9.7734785,17.015520000000002,19.142842,11.4410984,13.0268125,10.3329772,17.249102,19.183197,11.3041546,12.4659934,10.715421300000001,17.685904999999998,19.025195999999998,11.1780235,11.946080300000002,11.3085472,17.685451999999998,19.208176,10.8826028,11.3870205,11.9531749,17.834462,17.729426999999998,11.254056199999999,10.939619800000001,12.8017759,18.203053,15.648551000000001,11.8843679,10.7972531,13.3789418,16.998926,14.734034,12.7734565,10.700905,13.468198000000001,17.839254999999998,13.08675,13.879786600000001,10.345679800000001,13.870752,18.997966,12.24741,14.5723897,9.9111145,15.273060000000001,18.886943,12.0657563,14.4768706,9.9641371
Core4,13.470235,11.163702,8.020064,7.336166,6.936157000000001,6.831977999999999,6.7280940000000005,6.720435,6.680213,6.710578999999999,6.917819000000001,6.6097529999999995,12.9743409,13.271317699999999,10.3117733,17.606366,18.753703,10.9534695,13.212473000000001,10.3366308,17.782662,18.744046,10.7771556,12.5958165,10.9217662,18.154503,17.283555,10.967616900000001,11.286100300000001,12.761842699999999,18.223865,15.490379,11.5569051,11.1513101,13.0993648,17.287157,14.556698,12.45262,11.307158900000001,12.998417800000002,17.675363,12.969453,13.7264438,10.5617515,14.076645000000001,18.712728,12.333339,14.0326704,10.4471215,14.956745999999999,18.736832,12.072050599999999,13.847197099999999,10.007172599999999,16.646895,18.648257,11.8783334,13.8608327,10.058968199999999,16.817080999999998,18.783406,11.5747909,13.677306,10.0928851,17.156147,18.715395,11.3823452,13.3722163,10.1460692,17.689485,18.506218,11.2208739,13.3128666,10.2953213,17.604222,18.755842,10.960625199999999,13.250748000000002,10.3383214,17.711276,18.817584,10.762898800000002,12.8396594,10.6710153,18.119529999999997,17.48089,10.9079573,11.314289,12.663735899999999,18.17936,15.683268,11.460977,11.1955819,13.0349805,17.285412,14.704476000000001,12.3195082,11.325880300000001,13.089631599999999,17.574748,13.157642999999998,13.5197461,10.6297981,13.899714999999999,18.711469,12.308950999999999,14.0950109,10.4500213,14.835602,18.732145000000003,12.082486099999999,13.9170285,12.872046300000001
Core5,0.6081036079,0.6081003953999999,0.6080970140999999,0.6080942758,0.6080942617,0.60809247236,0.608090858,0.6080896142000001,0.60808948766,0.6080880683,0.60808473685,0.60808031982,0.6080663461399999,0.608066157561,0.6080661396589999,0.608066232478,0.608066241989,0.608066138739,0.608066153558,0.60806614483,0.608066232953,0.608066240933,0.608066137286,0.608066143633,0.6080661571329999,0.608066231076,0.608066222684,0.608066142871,0.608066132046,0.608066174806,0.60806623346,0.6080661999360001,0.6080661519520001,0.608066130421,0.6080661797119999,0.608066220793,0.608066185179,0.608066166329,0.60806612977,0.60806617827,0.608066231055,0.6080661620100001,0.608066184424,0.608066124434,0.608066188596,0.608066244406,0.608066153743,0.608066188034,0.60806612148,0.6080662055039999,0.608066244081,0.608066150993,0.608066182293,0.608066119243,0.608066225946,0.608066243819,0.608066148315,0.608066177852,0.608066122422,0.608066228343,0.6080662436450001,0.6080661460600001,0.608066172035,0.6080661266130001,0.608066229902,0.608066243172,0.608066143529,0.6080661622860001,0.608066134119,0.608066231539,0.608066242552,0.608066141161,0.608066157922,0.608066139196,0.6080662325639999,0.608066242278,0.60806613899,0.608066154163,0.608066144212,0.60806623273,0.608066241042,0.608066137368,0.60806614537,0.608066154859,0.608066231026,0.608066224676,0.608066142249,0.608066132293,0.608066173879,0.608066232701,0.608066202098,0.608066151008,0.608066130598,0.6080661790990001,0.608066220255,0.608066187158,0.608066165271,0.6080661298800001,0.608066178745,0.6080662297680001,0.6080661654680001,0.608066181334,0.608066124943,0.608066185995,0.6080662444780001,0.6080661534449999,0.608066188355,0.608066121722,0.6080662041520001,0.6080662440969999,0.608066150932,0.608066183554,0.608066357031
Core6,0.6081036079,0.6081003953999999,0.6080970140999999,0.6080942758,0.6080942617,0.60809247236,0.608090858,0.6080896142000001,0.60808948766,0.6080880683,0.60808473685,0.60808031982,0.6080663461399999,0.608066157561,0.6080661396589999,0.608066232478,0.608066241989,0.608066138739,0.608066153558,0.60806614483,0.608066232953,0.608066240933,0.608066137286,0.608066143633,0.6080661571329999,0.608066231076,0.608066222684,0.608066142871,0.608066132046,0.608066174806,0.60806623346,0.6080661999360001,0.6080661519520001,0.608066130421,0.6080661797119999,0.608066220793,0.608066185179,0.608066166329,0.60806612977,0.60806617827,0.608066231055,0.6080661620100001,0.608066184424,0.608066124434,0.608066188596,0.608066244406,0.608066153743,0.608066188034,0.60806612148,0.6080662055039999,0.608066244081,0.608066150993,0.608066182293,0.608066119243,0.608066225946,0.608066243819,0.608066148315,0.608066177852,0.608066122422,0.608066228343,0.6080662436450001,0.6080661460600001,0.608066172035,0.6080661266130001,0.608066229902,0.608066243172,0.608066143529,0.6080661622860001,0.608066134119,0.608066231539,0.608066242552,0.608066141161,0.608066157922,0.608066139196,0.6080662325639999,0.608066242278,0.60806613899,0.608066154163,0.608066144212,0.60806623273,0.608066241042,0.608066137368,0.60806614537,0.608066154859,0.608066231026,0.608066224676,0.608066142249,0.608066132293,0.608066173879,0.608066232701,0.608066202098,0.608066151008,0.608066130598,0.6080661790990001,0.608066220255,0.608066187158,0.608066165271,0.6080661298800001,0.608066178745,0.6080662297680001,0.6080661654680001,0.608066181334,0.608066124943,0.608066185995,0.6080662444780001,0.6080661534449999,0.608066188355,0.608066121722,0.6080662041520001,0.6080662440969999,0.608066150932,0.608066183554,0.608066357031
Core7,13.462534,11.854016,7.598497999999999,7.18942,6.924687,6.833597999999999,6.728871000000001,6.719146,6.674092,6.668819999999999,6.973386,6.624291,12.9760689,13.319250199999997,10.166268400000002,17.671994,18.918392,10.914985699999999,13.262209200000001,10.213874800000001,18.069512,18.746369,10.675758,12.591902300000001,10.8808516,18.120914000000003,17.355797,10.974561,11.378619,12.4201319,18.522539000000002,15.475333,11.556788000000001,11.245247500000001,12.9998402,17.250413,14.548231,12.4531088,11.168354699999998,13.179531599999999,17.801079,12.885708000000001,13.723549199999999,10.557838,14.098127999999999,18.829014,12.241267,14.0323603,10.439786900000001,14.972543,18.830414,12.004907199999998,13.848892800000002,10.009893,16.664714,18.91166,11.6956635,13.861628,9.9165002,17.07011,18.907647,11.503189,13.676695,9.9296814,17.520885999999997,18.75189,11.313157499999999,13.4248559,10.1322061,17.579895999999998,18.885579999999997,11.0301694,13.359994400000001,10.1615774,17.672752,18.924910999999998,10.9095347,13.2949693,10.2128894,17.999875,18.769130999999998,10.6946196,12.837142,10.6176274,18.121134,17.540439000000003,10.914224800000001,11.4012799,12.3442328,18.43349,15.689812,11.4619676,11.2884126,12.932563400000001,17.246931,14.701543,12.3192935,11.222317599999998,13.2232342,17.712730999999998,13.059588,13.520540700000002,10.6258853,13.894143,18.896989,12.196574,14.092799900000001,10.4496101,14.894584,18.764697,12.0126841,13.918126999999998,12.9820633
Core8,0.6081036079,0.6081003953999999,0.6080970140999999,0.6080942758,0.6080942617,0.60809247236,0.608090858,0.6080896142000001,0.60808948766,0.6080880683,0.60808473685,0.60808031982,0.6080663461399999,0.608066157561,0.6080661396589999,0.608066232478,0.608066241989,0.608066138739,0.608066153558,0.60806614483,0.608066232953,0.608066240933,0.608066137286,0.608066143633,0.6080661571329999,0.608066231076,0.608066222684,0.608066142871,0.608066132046,0.608066174806,0.60806623346,0.6080661999360001,0.6080661519520001,0.608066130421,0.6080661797119999,0.608066220793,0.608066185179,0.608066166329,0.60806612977,0.60806617827,0.608066231055,0.6080661620100001,0.608066184424,0.608066124434,0.608066188596,0.608066244406,0.608066153743,0.608066188034,0.60806612148,0.6080662055039999,0.608066244081,0.608066150993,0.608066182293,0.608066119243,0.608066225946,0.608066243819,0.608066148315,0.608066177852,0.608066122422,0.608066228343,0.6080662436450001,0.6080661460600001,0.608066172035,0.6080661266130001,0.608066229902,0.608066243172,0.608066143529,0.6080661622860001,0.608066134119,0.608066231539,0.608066242552,0.608066141161,0.608066157922,0.608066139196,0.6080662325639999,0.608066242278,0.60806613899,0.608066154163,0.608066144212,0.60806623273,0.608066241042,0.608066137368,0.60806614537,0.608066154859,0.608066231026,0.608066224676,0.608066142249,0.608066132293,0.608066173879,0.608066232701,0.608066202098,0.608066151008,0.608066130598,0.6080661790990001,0.608066220255,0.608066187158,0.608066165271,0.6080661298800001,0.608066178745,0.6080662297680001,0.6080661654680001,0.608066181334,0.608066124943,0.608066185995,0.6080662444780001,0.6080661534449999,0.608066188355,0.608066121722,0.6080662041520001,0.6080662440969999,0.608066150932,0.608066183554,0.608066357031
Core9,13.436389000000002,13.434719,13.397110000000001,13.427289000000002,13.409542000000002,9.592262,7.61415,7.5248029999999995,7.40615,7.158391,4.1614801,0.60808031982,15.84133073,10.59168309,10.404166199999999,16.0432959,14.7281557,11.24698,10.3731439,10.7008976,15.443782999999998,14.225827599999999,11.8476359,8.64126419,12.6780297,13.677627900000001,14.1164313,12.908111,7.367112599999999,13.402626199999998,13.812463800000002,14.0789711,14.049315599999998,6.9531148,12.585812400000002,14.1148218,13.52271,15.6231863,6.7115352,11.719596899999999,15.532373300000001,11.719725,17.16056087,6.4644014,12.4464123,16.6236151,11.273247,16.2072423,7.0923008,13.6191904,16.5546994,11.187897300000001,14.3895272,7.330444900000001,15.888655599999998,16.179139499999998,11.2260813,12.74374815,8.4929856,15.8675128,15.822062400000002,11.3100855,11.05828034,9.686144,15.945353400000002,15.623185500000002,11.259720100000001,10.4803216,10.2004179,16.0610714,15.171347899999999,11.2579055,10.56280289,10.4159781,16.015304399999998,14.8017255,11.2475011,10.4977185,10.6068556,15.5555414,14.231962900000001,11.7493719,8.84963826,12.4272869,13.7882549,14.102998699999999,12.7958888,7.4208381999999995,13.456304600000001,13.769561300000001,13.8524779,14.0915707,7.0002552,12.672740199999998,13.9728179,13.5696712,15.537403699999999,6.736963900000001,11.6539514,15.6144923,12.053148,16.883260999999997,6.2902082,12.4546587,16.650343,11.253191000000001,16.34115997,6.9917253,13.609069199999999,16.5383745,11.1948979,14.5875721,7.7497845000000005
L3_0,0.72190204,0.70062954,0.67355844,0.66549624,0.66248784,0.64809524,0.63981084,0.63986974,0.64363414,0.64851684,0.66138074,0.666406673614,0.58134845,0.57816693,0.62851164,0.68499544,0.68253764,0.61136274,0.5806191999999999,0.63384904,0.68358864,0.68199174,0.60659214,0.58021991,0.64525024,0.68037174,0.67200304,0.60482484,0.57929179,0.66091064,0.67919174,0.66232464,0.6020397,0.58414933,0.66297764,0.67736074,0.65974054,0.59221075,0.58959376,0.66272704,0.68066414,0.65623014,0.57836236,0.59425406,0.67065214,0.68183774,0.64792284,0.57641818,0.59874569,0.67769414,0.68265964,0.64112634,0.57580093,0.60089372,0.69057864,0.68311634,0.63504834,0.57547147,0.60822854,0.68829484,0.68261294,0.62916904,0.57473134,0.61515594,0.68763504,0.68235134,0.62306064,0.57512397,0.62279054,0.68663344,0.68253954,0.61724674,0.57783624,0.62788144,0.68547244,0.68292704,0.61177674,0.58050964,0.63309484,0.68400564,0.68198854,0.60693564,0.58061593,0.64321114,0.68077654,0.67289624,0.60499614,0.57892896,0.65992794,0.67940834,0.66113594,0.60387664,0.58368286,0.66292424,0.67738404,0.65962954,0.59317292,0.58906738,0.66253574,0.68155304,0.65571104,0.58105423,0.59272651,0.67086374,0.68207894,0.64802794,0.57649321,0.5986245,0.67624254,0.68241624,0.64192284,0.57610988,0.58208708
