UnitName,Power,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,Power101,Power102,Power103,Power104,Power105,Power106,Power107,Power108,Power109,Power110,Power111,Power112,Power113,Power114,Power115,Power116,Power117,Power118,Power119,Power120,Power121,Power122,Power123,Power124,Power125,Power126,Power127
Core0,0.6081111888,0.6081050141,0.6080958864,0.60809248432,0.60809092112,0.60808923638,0.6080895944899999,0.6080893462,0.60808324404,0.60808030854,0.6080802055300001,0.6081126185,0.6081266472,0.6081267727,0.6081253396999999,0.6081266472,0.608126585,0.6081270281000001,0.6081563775,0.6081565177,0.6081578017,0.6081348728,0.6081254617,0.6081253396999999,0.6081253396999999,0.6081266472,0.6081253396999999,0.608066342307,0.608066170385,0.60806637541,0.608067649005,0.608067634049,0.608067623368,0.6080676018410001,0.608067509571,0.608067564017,0.608067617424,0.608067610499,0.608067616715,0.608067613291,0.6080675287990001,0.608067659258,0.608067643445,0.608067631491,0.608067627429,0.6080676242490001,0.608066375823,0.6080662007050001,0.608066168731,0.608067427596,0.608067647271,0.608067632341,0.608067621511,0.60806759526,0.608067476291,0.6080676155020001,0.60806761712,0.6080676105489999,0.608067616968,0.6080676135409999,0.608067531417,0.608067657009,0.608067642675,0.60806763096,0.6080676270100001,0.608067622799,0.608066276853,0.608066233178,0.608066153973,0.608067665036,0.608067647048,0.608067632022,0.608067620177,0.608067589652,0.608067484119,0.60806761535,0.608067616259,0.6080676110459999,0.608067616259,0.60806761319,0.608067535471,0.608067655747,0.608067640865,0.608067630801,0.608067626853,0.6080676158039999,0.608066262212,0.608066230664,0.608066160603,0.608067663274,0.608067645991,0.6080676313319999,0.608067618288,0.608067584377,0.6080674859040001,0.608067616057,0.6080676153,0.608067611643,0.608067617069,0.60806760936,0.608067540674,0.608067654832,0.608067639665,0.608067630325,0.60806762508,0.6080676088170001,0.608066248934,0.608066228156,0.608066168029,0.608067661988,0.608067644439,0.608067629216,0.608067617221,0.608067577592,0.608067489705,0.608067616765,0.608067614696,0.608067611991,0.608067616664,0.608067602517,0.608067549293,0.608067653636,0.60806763836,0.608067630061,0.608067623834,0.608067602856,0.60806623634,0.60808326487
Core1,11.380077,7.758717999999999,5.7095758000000005,5.8661685,5.848188200000001,5.8271025000000005,6.0101156,6.0237162,5.331062,6.059694,7.2279919999999995,12.126881800000001,13.626219800000001,13.621840900000002,13.5261739,13.604517499999998,13.508676000000001,15.1987057,19.70851547,19.69221376,19.466506699999996,13.6495429,13.599787099999999,13.534166500000001,13.5994982,13.5852143,13.522882399999999,14.7171724,10.775715400000001,23.2293614,37.486638,36.600469,36.531859000000004,36.750359,33.29479,32.088153000000005,36.782876,36.430143,36.762743,36.855934000000005,31.14857,39.045795,38.204792,37.545396000000004,37.305151,36.719822,23.337847,12.8735004,10.7113194,26.535738000000002,37.07255,36.563682,36.513448,36.718509000000005,29.2220505,36.891754999999996,36.846090999999994,36.356806,36.800667,36.866411,31.295087,38.966224,38.189059,37.404379999999996,37.292108,36.550671,17.869672,14.5163323,9.9048561,40.540206,36.964844,36.509087,36.578745,36.744593,29.370034000000004,36.868715,36.804190999999996,36.399128999999995,36.770476,36.726105,31.535822999999997,38.914375,38.125141,37.425857,37.246357,36.545356,16.787492,14.363013,10.3286682,40.200259,36.994602,36.5147,36.638935,36.707992,29.123434999999997,36.843893,36.833853000000005,36.357069,36.871387,36.575884,31.755082,38.832782,38.072123,37.363692,37.095572,36.520544,15.890158800000002,14.234008600000001,10.6846019,40.005435,36.845438,36.339309,36.595259000000006,36.7321,29.296296999999996,36.895216999999995,36.762609999999995,36.385214000000005,36.791171000000006,36.627345,31.883107,38.769366999999995,37.992118,37.352878000000004,37.029862,36.461349,15.0623677,14.371201800000001
Core2,12.259734,6.0545934,5.831011900000001,5.9625891,5.8903749,5.8050692,6.0307115,5.782951000000001,5.255228,6.100221,2.93024,10.5696414,13.5981378,13.6126259,13.6013235,13.5745369,13.505855599999999,15.195677900000002,19.69444709,19.72274472,19.462504,13.621842000000001,13.5766476,13.5876029,13.621174599999998,13.5776432,13.6212555,14.7226085,10.570803199999999,22.9970701,37.6869,36.609815999999995,36.655642,36.726964,33.936295,32.093203,36.681055,36.363499,36.792747999999996,36.500204,31.55945,39.012361999999996,38.034526,37.47929,37.521721,37.04654,23.166466,12.6755301,10.5112262,26.223134,37.378525,36.382925,36.657171000000005,36.779102,29.853367,36.903033,36.628815,36.426317,36.768519,36.495155,31.744284999999998,38.926471,37.916339,37.542084,37.54176,36.805883,17.443653,14.522051699999999,9.769031300000002,39.710159000000004,37.294864000000004,36.562901000000004,36.712543,36.746462,29.965121999999997,36.885771999999996,36.610882000000004,36.436029,36.812013,36.320091999999995,31.965887,38.901824,37.792753000000005,37.606553000000005,37.453185999999995,36.759803000000005,16.412191,14.3684398,10.1405026,39.480729,37.239897,36.461196,36.710857,36.745457,29.966683000000003,36.829747999999995,36.508614,36.553859,36.839052,36.280954,32.134741999999996,38.792429999999996,37.770818,37.590086,37.308756,36.759495,15.5011842,14.2366451,10.5179895,39.153894,37.186345,36.45387,36.730129999999996,36.68575,29.958890999999998,36.905141,36.450773,36.522653999999996,36.756031,36.30538,32.356338,38.70081,37.68781,37.707118,37.168824,36.702469,14.680867499999998,14.353677800000002
Core3,9.514600999999999,5.7325392,6.0271085,5.7243551,5.910868,5.7995806,6.002643900000001,5.988251,5.235563,6.079376,4.0481435,10.548677099999999,13.565741599999999,13.586152800000002,13.6367967,13.5628549,13.5933802,15.1305481,19.62297303,19.66470032,19.4556362,13.623642000000002,13.6156065,13.590679199999999,13.5991235,13.5665424,13.5759145,14.7229335,10.5569597,23.752790100000002,37.061716,36.462989,36.671977000000005,36.735981,33.538798,32.062688,36.72105,36.455844,36.818239,36.416019,31.531434,39.062139,37.891490999999995,37.515124,37.616646,37.274229999999996,23.000884,12.674430000000001,10.396368199999998,27.089819,36.880596000000004,36.314671000000004,36.652564,36.752657,29.637964,36.868491,36.757787,36.461826,36.831294,36.396993,31.703026,38.969283000000004,37.758082,37.548415999999996,37.598737,37.107115,17.319817999999998,14.5189607,9.8291773,40.0616,36.842524,36.458092,36.662742,36.761829,29.964218,36.866796,36.677049,36.492095,36.809851,36.286301,31.933590000000002,38.896190999999995,37.624146,37.632678000000006,37.590516,37.055245,16.2765131,14.367070499999999,10.320668800000002,39.742643,36.810097999999996,36.414634,36.669546000000004,36.749458000000004,29.588996,36.844697,36.633412,36.523152,36.872215000000004,36.25561,32.115123,38.794874,37.629639000000005,37.580374,37.465749,37.166841,15.304066,14.2361841,10.691605699999998,39.417813,36.738305,36.295821999999994,36.716013000000004,36.716643,29.702445,36.88623,36.568525,36.567885,36.782176,36.231195,32.300501000000004,38.740091,37.470344,37.659659999999995,37.402763,37.206789,14.465048600000001,14.406813399999999
Core4,5.2564415,5.6631528,5.505103900000001,5.761774,5.709745900000001,5.5821392,5.783385,5.880961,5.230855,5.847072,6.693841,10.190567699999999,12.878703,12.917605300000002,12.8797351,12.944161,12.894728500000001,12.9284667,18.1100125,19.66128972,19.70379513,15.736155800000002,12.925185,12.8554106,12.941386900000001,12.917107000000001,12.862703199999999,14.2354416,10.6991545,22.256386499999998,35.966514000000004,35.557688,35.905568,35.413709000000004,36.009708,34.60503,35.948324,35.592893,35.809931,35.518669,35.758134000000005,37.893088,36.805503,36.628663,36.520885,36.864402,25.683454,12.329760499999999,10.5141683,25.135415,35.809826,35.652724,36.006747999999995,35.446290000000005,35.219894000000004,35.517818,35.951843,35.615621999999995,35.976163,35.629487,35.644284000000006,37.742740000000005,36.831231,36.613915000000006,36.501,36.863153999999994,19.264854,14.0509676,10.217221,36.323398,35.759276,35.610134,35.925365,35.446723,35.485493,35.541854,35.811082,35.681995,35.710778000000005,35.64287,36.107067,37.639218,36.78965,36.546015000000004,36.566182,36.778998,18.113991,13.918022500000001,10.5724552,36.320451,35.762423999999996,35.838117,35.735018,35.650489,35.083532,35.621195,35.755734000000004,35.770694,35.872283,35.590358,36.124102,37.581029,36.693186,36.587722,36.522147,36.725168,17.040383600000002,13.818903299999999,10.980189900000001,36.281665000000004,35.620256,35.838122999999996,35.695347,35.711674,34.917601,35.729647,35.794241,35.753851,35.833969,35.560254,36.283068,37.519696,36.699574,36.535058,36.432961,36.843235,16.0275331,16.069392699999998
Core5,5.2415642,5.7107539,5.518561900000001,5.6355528,5.8151848,5.6380074,5.7458351,5.8419928,5.193598000000001,5.893941000000001,6.682745,10.047552,12.944161,12.9167022,12.8607428,12.8591156,12.917305800000001,12.8850028,18.301416399999997,19.62872213,19.77688811,15.7253761,12.8905106,12.9454617,12.8831549,12.8244444,12.923712199999999,14.2380367,10.790522900000001,20.9841616,35.963449,35.336923,35.928356,35.456713,35.917623999999996,35.137636,35.949182,35.431187,36.00063,35.503043,35.731327,37.932879,37.019690999999995,36.257104,36.231922999999995,36.432693,26.192715,12.3266317,10.6254173,23.7744329,35.873809,35.272009000000004,35.950158,35.419442,35.624648,35.510213,35.914006,35.479341,35.94375,35.38344,36.063584000000006,37.701395,37.030093,36.254394,36.237189,36.389364,19.66102,14.0492404,9.8550209,36.050959000000006,35.74248,35.656071999999995,35.930309,35.575524,35.573817,35.554118,35.84767,35.514520000000005,35.921794,35.542202,36.157381,37.578277,36.926404,36.257582,36.256890000000006,36.422713,18.450892,13.9171967,10.1934898,36.055981,35.627756,35.634085,35.917597,35.506786,35.514834,35.6164,35.842431,35.498505,36.000725,35.406759,36.413665,37.517416,36.864218,36.222632,36.230123,36.343829,17.380097600000003,13.8194813,10.5513466,36.032984,35.584097,35.566320000000005,35.908715,35.528528,35.42328,35.749705,35.777236,35.575796999999994,35.924393,35.414493,36.60508,37.431678000000005,36.77045,36.184217,36.219715,36.463827,16.347839999999998,16.0302106
Core6,5.2352199,5.6850985000000005,5.5134210999999995,5.6984240999999995,5.7586695,5.5602379,5.865338200000001,5.8243985,5.206302,5.821452,6.696059,10.377704300000001,12.8645023,12.9272242,12.8980168,12.896803,12.881405,12.896418400000002,18.021774,19.64212095,19.81119869,15.6967779,12.9075121,12.922604,12.919318400000002,12.895999900000001,12.877132000000001,14.2370008,10.6648022,21.069353,35.950571999999994,35.467469,36.035002,35.538751,35.989734000000006,35.024796,36.014138,35.442214,36.041102,35.444537,35.73223,38.369517,37.368417,36.312129,36.08416,36.262235,25.897841,12.3284383,10.4761967,24.159246,35.978367999999996,35.479451,35.946328,35.549168,35.294871,35.414549,36.028065999999995,35.422676,35.953167,35.448932,36.033351,38.217735,37.300868,36.261808,36.07284,36.197311,19.479271,14.049725500000001,9.8223662,36.049212,35.985701,35.508164,35.941286,35.574282000000004,35.596587,35.505841,35.988687,35.527608,35.988377,35.454705,36.134487,38.116547,37.198761,36.207451,36.084311,36.210953,18.292154,13.918065099999998,10.130154800000001,36.005988,35.969352,35.40975,35.905368,35.646209000000006,35.553792,35.564437,35.956140000000005,35.428521999999994,35.997646,35.382746000000004,36.523990000000005,38.066163,37.061254,36.199992,36.050354999999996,36.088951,17.2487171,13.820054800000001,10.556939100000001,36.024351,35.959253000000004,35.455438,35.874089,35.641633,35.15295,35.692128000000004,35.839486,35.566151,35.916181,35.34855,36.720663,38.000782,37.003487,36.156973,35.964785,36.189076,16.2534575,16.0240076
Core7,5.245442,5.6713677,5.4254249,5.7087614,5.9142686,5.5427693,5.784235,5.8834125,5.230837,5.843254,6.686241000000001,10.207659199999998,12.8347631,12.8808227,12.892064,12.891207000000001,12.8564224,12.8521563,18.2818551,19.691896300000003,19.91785284,15.620541199999998,12.8459664,12.8872075,12.9239877,12.9225038,12.9243924,14.236510800000001,11.0541879,20.618223699999998,35.955391999999996,35.334202000000005,35.962483,35.521953,35.948937,34.620569,35.931884000000004,35.503625,35.877388,35.624068,35.749224,38.385699,37.810862,36.615833,35.987517,35.99423,25.6898,12.329571000000001,10.973490400000001,23.0364425,35.910288,35.465083,35.920256,35.528725,35.19985,35.68824,35.777526,35.687934999999996,35.813198,35.784834000000004,35.649297999999995,38.306069,37.736578,36.590112,35.932168,36.009553000000004,19.264941,14.051954,9.8235369,36.377607,35.777986999999996,35.625943,35.7537,35.612407,35.493801,35.511496,35.814935999999996,35.569595,35.752244,35.788458,36.17536,38.269012,37.598419,36.543001000000004,35.854763,36.009710999999996,18.128529999999998,13.917378,10.2362179,36.280229,35.597174,35.765158,35.719701,35.752759000000005,35.090972,35.792722,35.659786,35.720958,35.744159,35.802257,36.113427,38.266870000000004,37.482304,36.446222999999996,35.930276,35.873172,17.0846785,13.8186456,10.6474957,36.077007,35.470514,35.817981,35.712618,35.688944,35.007961,35.746999,35.698608,35.814923,35.647077,35.888749,36.34728,38.216066999999995,37.37985,36.404990000000005,35.763965,35.940211,16.1213078,16.0440698
Core8,17.770166,17.689639,9.460295,7.612118,5.5521398,5.1744330000000005,5.433621,5.487384,5.13822,0.81258181,0.6080802055300001,10.4167488,13.5397516,13.087706800000001,13.6405518,12.9586957,12.855441099999998,13.734787400000002,19.63533039,19.85438516,19.81177194,13.967680800000002,12.8855051,12.946112199999998,12.9200633,12.9268883,12.8432177,14.2384295,10.931313000000001,23.2602217,41.568461,41.432840999999996,37.600528999999995,36.074408,24.9530683,31.422285,36.031077,35.63443,35.845418,36.075333,34.465921,39.027072,38.007766,37.281772,36.715559000000006,36.131025,24.567936,12.4304585,10.769808,26.4038577,41.631149,41.343429,37.175102,35.995952,21.389985,36.154676,36.04161,35.557538,35.915962,36.02189,34.745315000000005,38.860125,38.028214,37.18991,36.635459000000004,36.143549,18.396756,14.122642800000001,9.7029094,41.974543,41.86407,41.185666,36.677565,36.033134000000004,21.5236642,36.130072,36.024882,35.559512,35.898632,36.111731,34.955709000000006,38.751892,37.93231,37.154863,36.65016,35.934756,17.534163,13.931686800000001,10.0562374,41.933278,41.726637,41.225664,36.195223999999996,36.086076,21.4405153,36.155302,35.962709999999994,35.577694,35.958707000000004,36.000761,35.231128000000005,38.677956,37.894387,37.038888,36.525009999999995,36.035471,16.5513392,13.7524459,10.5293017,42.092884000000005,41.44769,41.153708,35.922131,36.061744,21.2723977,36.118838000000004,35.933382,35.512640999999995,36.054636,36.012591,35.387221999999994,38.60151,37.837416999999995,37.0119,36.407945,36.069933,15.5445586,13.196381200000001
Core9,17.755720999999998,17.686494,11.615313,7.510719,5.756908,5.169802,5.426182,5.475579,4.0952269,0.60808030854,0.6080802055300001,9.8971815,12.9224657,12.913202900000002,12.924488499999999,12.8859274,12.9169846,12.8776571,18.3172517,19.74240247,19.90292015,15.6784391,12.9032897,12.9352617,12.9219137,12.9018219,12.8961885,14.0313706,8.778862400000001,23.381512100000002,44.893905,42.029516,38.00291,29.920908,0.608067509571,31.368428,36.024063,35.64717,35.757553,36.041612,8.4210251,38.790632,38.218709999999994,37.471576,37.086388,36.601054,5.4031403,11.9250513,8.6133288,27.1655557,45.144382,41.437333,37.584389,26.4604984,1.50327502,36.124635999999995,35.992031,35.583358000000004,35.837733,36.05231,8.4876909,38.743995,38.12428,37.45332,37.035694,36.554526,3.9521816,13.9153728,7.597396000000001,43.815841,45.279229,40.685022,37.426987,23.3180534,3.9753193,36.131765,35.936298,35.615427000000004,35.836065999999995,36.020634,8.5291254,38.692258,38.020933,37.453299,37.011127,33.251346999999996,4.9793043,13.782293099999999,7.978884,43.865944,45.348662,40.062407,37.20795,20.227376899999996,6.5008952,36.107347,35.880308,35.666745,35.826299,34.560859,9.7655867,38.713269,37.942412,37.460972999999996,36.753803999999995,29.82276,6.003079799999999,13.4225193,8.6459968,44.122479999999996,45.426789,39.384271000000005,36.884577,16.8179634,9.1031034,36.102705,35.864092,35.574619,35.964816,31.013523,12.730746,38.631691,37.897587,37.382964,36.785915,26.3831648,6.929777099999999,15.980709099999999
