UnitName,Power,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81
Core0,6.878571000000001,6.918022000000001,6.903936,7.028950999999999,6.909166,6.909348,7.032674,6.929023,6.926435000000001,6.962012,6.992178,6.912986,5.556623,4.9873367,6.888864999999999,6.934705999999999,6.985863,6.9435839999999995,6.89853,6.916874000000001,7.031553,6.924014,6.945392999999999,6.977129,6.969347999999999,6.926486,3.9574907,7.476862,6.92069,6.64767,6.648925,6.607341,6.651738000000001,6.6487050000000005,6.606875,6.652432000000001,6.648147,6.607945,6.648192999999999,6.65448,6.607738,6.6479610000000005,6.653212,6.6046309999999995,6.653078,6.648766,6.653739,6.6080380000000005,6.648299000000001,6.6476809999999995,6.611851,6.649377,6.648933,6.611325999999999,6.647164,6.650577,6.606418,6.653936,6.6496059999999995,6.607481,6.652697,6.64854,6.6079360000000005,6.647800999999999,6.653301,6.608117999999999,6.648331,6.652639,6.632675999999999,6.622889999999999,6.648459,6.653486999999999,6.606838000000001,6.649352,6.652517,6.607864,6.649195,6.648523,6.611986,6.647403999999999,6.6505600000000005,6.596493
Core1,6.903663000000001,6.885244,6.941757000000001,7.038811,6.926908999999999,6.926689,7.015619999999999,6.901969,6.934463,6.958125999999999,6.993272999999999,6.912702,4.5665623,5.000256200000001,6.898736,6.8865490000000005,7.013502000000001,6.968725,6.926361999999999,6.934171000000001,7.013808,6.9173160000000005,6.941901,6.975978,6.959114,6.906777000000001,3.1976587000000003,7.4782589999999995,6.907636,6.565171,6.565216,6.512093,6.563255000000001,6.565154,6.511682,6.565853,6.564641,6.51291,6.565311,6.567349,6.512861,6.564819,6.566389999999999,6.509542,6.569995,6.565519,6.5666199999999995,6.513079,6.56538,6.563347,6.5143059999999995,6.566539,6.5653429999999995,6.512654,6.564574,6.567025,6.510873999999999,6.568147,6.565937,6.512405,6.566364,6.565016,6.512956,6.564903999999999,6.566322,6.512707,6.565494,6.565975,6.5372,6.540098,6.565169,6.566482000000001,6.512084,6.566311,6.565278999999999,6.51275,6.566639,6.5650059999999995,6.513514,6.564669,6.566832000000001,6.496639
Core2,6.907667,6.929163000000001,6.923462,7.022453,6.8805369999999995,6.918645,7.034205,6.935028999999999,6.937065,6.968889,6.98728,6.924297999999999,5.274502,4.9897425,6.901391,6.905436999999999,7.01498,6.956028,6.875201,6.928577000000001,7.032136,6.918543,6.944614,6.980066000000001,6.980652,6.925692999999999,3.749681,7.492850999999999,6.902444999999999,6.626164999999999,6.627160000000001,6.582482000000001,6.623829,6.626989,6.581992999999999,6.626794,6.626391,6.5832690000000005,6.6263570000000005,6.629042,6.583097,6.626017999999999,6.628242999999999,6.579598,6.631419,6.6270050000000005,6.628461,6.5829,6.626639999999999,6.624436,6.585091,6.627822999999999,6.626894,6.583019999999999,6.625356,6.628759,6.580429,6.629867999999999,6.627910000000001,6.582526,6.627426,6.626863,6.583571000000001,6.625408,6.6281479999999995,6.583044999999999,6.626983,6.626975999999999,6.607963000000001,6.6014539999999995,6.626405,6.628411,6.582039,6.627317999999999,6.627474,6.582647,6.6275710000000005,6.6270050000000005,6.583587,6.625547,6.6286059999999996,6.567997999999999
Core3,0.60807884931,0.60807987765,0.60807995487,0.60807996142,0.60807987765,0.60807987765,0.60808002783,0.60807988082,0.60807987132,0.6080799646899999,0.60807990632,0.60807990312,0.60807682853,0.60807685407,0.6080799321,0.60807985872,0.60807997127,0.60807996142,0.60807883994,0.60807989673,0.6080799516,0.60807994183,0.60807884306,0.6080799943999999,0.6080798744899999,0.60807991918,0.60807398197,0.60808037309,0.6080724388300001,0.608066047249,0.608066047247,0.608066046992,0.608066047251,0.608066047253,0.608066046991,0.608066047266,0.608066047251,0.6080660469929999,0.608066047253,0.608066047285,0.6080660469879999,0.608066047253,0.608066047278,0.608066046967,0.608066047283,0.608066047255,0.608066047281,0.608066047,0.608066047249,0.6080660472330001,0.6080660470229999,0.608066047265,0.608066047249,0.608066047013,0.608066047246,0.608066047261,0.6080660469820001,0.608066047286,0.608066047253,0.608066046997,0.6080660472739999,0.608066047253,0.608066046995,0.608066047244,0.608066047278,0.608066046994,0.608066047255,0.6080660472739999,0.608066047123,0.608066047116,0.608066047247,0.6080660472789999,0.6080660469899999,0.608066047255,0.608066047278,0.608066046989,0.608066047258,0.608066047251,0.608066047018,0.608066047248,0.608066047256,0.608066047678
Core4,0.60807884931,0.60807987765,0.60807995487,0.60807996142,0.60807987765,0.60807987765,0.60808002783,0.60807988082,0.60807987132,0.6080799646899999,0.60807990632,0.60807990312,0.60807682853,0.60807685407,0.6080799321,0.60807985872,0.60807997127,0.60807996142,0.60807883994,0.60807989673,0.6080799516,0.60807994183,0.60807884306,0.6080799943999999,0.6080798744899999,0.60807991918,0.60807398197,0.60808037309,0.6080724388300001,0.608066047249,0.608066047247,0.608066046992,0.608066047251,0.608066047253,0.608066046991,0.608066047266,0.608066047251,0.6080660469929999,0.608066047253,0.608066047285,0.6080660469879999,0.608066047253,0.608066047278,0.608066046967,0.608066047283,0.608066047255,0.608066047281,0.608066047,0.608066047249,0.6080660472330001,0.6080660470229999,0.608066047265,0.608066047249,0.608066047013,0.608066047246,0.608066047261,0.6080660469820001,0.608066047286,0.608066047253,0.608066046997,0.6080660472739999,0.608066047253,0.608066046995,0.608066047244,0.608066047278,0.608066046994,0.608066047255,0.6080660472739999,0.608066047123,0.608066047116,0.608066047247,0.6080660472789999,0.6080660469899999,0.608066047255,0.608066047278,0.608066046989,0.608066047258,0.608066047251,0.608066047018,0.608066047248,0.608066047256,0.608066047678
Core5,0.60807884931,0.60807987765,0.60807995487,0.60807996142,0.60807987765,0.60807987765,0.60808002783,0.60807988082,0.60807987132,0.6080799646899999,0.60807990632,0.60807990312,0.60807682853,0.60807685407,0.6080799321,0.60807985872,0.60807997127,0.60807996142,0.60807883994,0.60807989673,0.6080799516,0.60807994183,0.60807884306,0.6080799943999999,0.6080798744899999,0.60807991918,0.60807398197,0.60808037309,0.6080724388300001,0.608066047249,0.608066047247,0.608066046992,0.608066047251,0.608066047253,0.608066046991,0.608066047266,0.608066047251,0.6080660469929999,0.608066047253,0.608066047285,0.6080660469879999,0.608066047253,0.608066047278,0.608066046967,0.608066047283,0.608066047255,0.608066047281,0.608066047,0.608066047249,0.6080660472330001,0.6080660470229999,0.608066047265,0.608066047249,0.608066047013,0.608066047246,0.608066047261,0.6080660469820001,0.608066047286,0.608066047253,0.608066046997,0.6080660472739999,0.608066047253,0.608066046995,0.608066047244,0.608066047278,0.608066046994,0.608066047255,0.6080660472739999,0.608066047123,0.608066047116,0.608066047247,0.6080660472789999,0.6080660469899999,0.608066047255,0.608066047278,0.608066046989,0.608066047258,0.608066047251,0.608066047018,0.608066047248,0.608066047256,0.608066047678
Core6,6.544896,6.531619999999999,6.538930000000001,6.545042,6.503039,6.556121000000001,6.5439050000000005,6.526097,6.514372,6.502358,6.502324,6.490655,6.507423999999999,7.149278,6.531201,6.5269379999999995,6.535761,6.554158999999999,6.501345,6.545038,6.497078,6.515327,6.506913,6.4529,6.522832,6.510642,6.6124089999999995,7.1952240000000005,6.532705,6.568446000000001,6.5698,6.576453,6.5677389999999995,6.568175,6.5765910000000005,6.570457000000001,6.568374,6.576536999999999,6.570154,6.571859,6.575624,6.569935000000001,6.572235000000001,6.5701,6.575978,6.569951,6.571006,6.576967,6.569803,6.567489999999999,6.579099,6.570208,6.568886,6.577742,6.569314,6.569691000000001,6.575906,6.5721110000000005,6.569597,6.5767869999999995,6.571173,6.5690789999999994,6.576622,6.569319,6.571304,6.57533,6.570828999999999,6.570545,6.567659,6.577596000000001,6.56962,6.570517,6.57638,6.5705279999999995,6.570855,6.576034,6.570194,6.5685139999999995,6.578736999999999,6.569253999999999,6.569499,6.567602000000001
Core7,0.60807884931,0.60807987765,0.60807995487,0.60807996142,0.60807987765,0.60807987765,0.60808002783,0.60807988082,0.60807987132,0.6080799646899999,0.60807990632,0.60807990312,0.60807682853,0.60807685407,0.6080799321,0.60807985872,0.60807997127,0.60807996142,0.60807883994,0.60807989673,0.6080799516,0.60807994183,0.60807884306,0.6080799943999999,0.6080798744899999,0.60807991918,0.60807398197,0.60808037309,0.6080724388300001,0.608066047249,0.608066047247,0.608066046992,0.608066047251,0.608066047253,0.608066046991,0.608066047266,0.608066047251,0.6080660469929999,0.608066047253,0.608066047285,0.6080660469879999,0.608066047253,0.608066047278,0.608066046967,0.608066047283,0.608066047255,0.608066047281,0.608066047,0.608066047249,0.6080660472330001,0.6080660470229999,0.608066047265,0.608066047249,0.608066047013,0.608066047246,0.608066047261,0.6080660469820001,0.608066047286,0.608066047253,0.608066046997,0.6080660472739999,0.608066047253,0.608066046995,0.608066047244,0.608066047278,0.608066046994,0.608066047255,0.6080660472739999,0.608066047123,0.608066047116,0.608066047247,0.6080660472789999,0.6080660469899999,0.608066047255,0.608066047278,0.608066046989,0.608066047258,0.608066047251,0.608066047018,0.608066047248,0.608066047256,0.608066047678
Core8,0.60807884931,0.60807987765,0.60807995487,0.60807996142,0.60807987765,0.60807987765,0.60808002783,0.60807988082,0.60807987132,0.6080799646899999,0.60807990632,0.60807990312,0.60807682853,0.60807685407,0.6080799321,0.60807985872,0.60807997127,0.60807996142,0.60807883994,0.60807989673,0.6080799516,0.60807994183,0.60807884306,0.6080799943999999,0.6080798744899999,0.60807991918,0.60807398197,0.60808037309,0.6080724388300001,0.608066047249,0.608066047247,0.608066046992,0.608066047251,0.608066047253,0.608066046991,0.608066047266,0.608066047251,0.6080660469929999,0.608066047253,0.608066047285,0.6080660469879999,0.608066047253,0.608066047278,0.608066046967,0.608066047283,0.608066047255,0.608066047281,0.608066047,0.608066047249,0.6080660472330001,0.6080660470229999,0.608066047265,0.608066047249,0.608066047013,0.608066047246,0.608066047261,0.6080660469820001,0.608066047286,0.608066047253,0.608066046997,0.6080660472739999,0.608066047253,0.608066046995,0.608066047244,0.608066047278,0.608066046994,0.608066047255,0.6080660472739999,0.608066047123,0.608066047116,0.608066047247,0.6080660472789999,0.6080660469899999,0.608066047255,0.608066047278,0.608066046989,0.608066047258,0.608066047251,0.608066047018,0.608066047248,0.608066047256,0.608066047678
Core9,0.60807884931,0.60807987765,0.60807995487,0.60807996142,0.60807987765,0.60807987765,0.60808002783,0.60807988082,0.60807987132,0.6080799646899999,0.60807990632,0.60807990312,0.60807682853,0.60807685407,0.6080799321,0.60807985872,0.60807997127,0.60807996142,0.60807883994,0.60807989673,0.6080799516,0.60807994183,0.60807884306,0.6080799943999999,0.6080798744899999,0.60807991918,0.60807398197,0.60808037309,0.6080724388300001,0.608066047249,0.608066047247,0.608066046992,0.608066047251,0.608066047253,0.608066046991,0.608066047266,0.608066047251,0.6080660469929999,0.608066047253,0.608066047285,0.6080660469879999,0.608066047253,0.608066047278,0.608066046967,0.608066047283,0.608066047255,0.608066047281,0.608066047,0.608066047249,0.6080660472330001,0.6080660470229999,0.608066047265,0.608066047249,0.608066047013,0.608066047246,0.608066047261,0.6080660469820001,0.608066047286,0.608066047253,0.608066046997,0.6080660472739999,0.608066047253,0.608066046995,0.608066047244,0.608066047278,0.608066046994,0.608066047255,0.6080660472739999,0.608066047123,0.608066047116,0.608066047247,0.6080660472789999,0.6080660469899999,0.608066047255,0.608066047278,0.608066046989,0.608066047258,0.608066047251,0.608066047018,0.608066047248,0.608066047256,0.608066047678
