UnitName,Power,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,Power101,Power102,Power103,Power104,Power105,Power106,Power107,Power108,Power109,Power110,Power111,Power112,Power113,Power114,Power115,Power116,Power117,Power118
Core0,26.794209000000002,26.84934,26.919901,2.3778387999999997,18.925304,19.725197,18.903648,17.0883673,22.125763,25.0245,19.828387,20.1915229,25.211463000000002,23.52882,20.1121357,21.413764999999998,25.273091,24.22748,20.0489473,22.031505,21.228465,18.119328,20.477509,18.957113,12.463536,22.6678085,22.5383672,20.789666,21.252892000000003,17.797372,21.021258,18.959630999999998,13.293795000000001,20.0874555,22.0536593,21.179633,21.291217,21.23264,18.10609,18.970441,17.053955,15.1266934,21.732291699999998,21.314583,21.466734,21.189483,18.31055,19.028882,19.043523,13.3836671,21.2822038,21.545018,21.592192,21.191188,18.48705,19.149189,18.994578,13.149838899999999,21.0095856,22.033078,21.731009,21.2164,18.400167,19.485169,18.967349,12.938037800000002,21.2080402,22.0060226,21.920298000000003,21.170831,18.251947,19.906376,18.977797,12.708691499999999,22.0869932,21.303924399999996,22.026802,21.210455,18.162067,20.303546,18.974703,12.510129,22.4435699,21.427186199999998,21.879837,21.265076999999998,17.967256,20.717417,19.01985,12.426636,22.4345978,22.2025967,21.079203,21.267081,19.76749,19.194907,19.058487,14.921942999999999,17.211131299999998,21.8485719,21.261725,21.411293,21.220499,18.146649,19.114272,18.852805,13.507266399999999,21.479882,21.458276,21.581235,21.181048999999998,18.329138,19.203487,19.007611999999998,13.199200699999999,21.136194399999997,21.817084,21.715062,21.186781
Core1,0.608142515,0.6081406368,0.6081379915999999,0.60808925449,0.6081300417000001,0.6081333093,0.6081329986999999,0.6081175471,0.6081190649,0.6081238077000001,0.6081234675,0.6081284226,0.6081270929,0.6081328463,0.6081329986999999,0.6081331529999999,0.6081359554,0.6081376368,0.6081394492000001,0.6080662973,0.608066267945,0.608066240802,0.60806624518,0.6080662311899999,0.608066171099,0.608066293501,0.608066294653,0.608066255322,0.608066267716,0.608066245766,0.608066244924,0.608066231289,0.608066182991,0.608066257449,0.6080662904940001,0.6080662585559999,0.608066268664,0.608066267602,0.608066230593,0.608066231325,0.608066226048,0.608066199914,0.608066283992,0.608066262634,0.608066270152,0.608066267411,0.608066234766,0.608066231646,0.608066231361,0.608066192102,0.608066278176,0.608066267507,0.608066271411,0.608066267831,0.608066238683,0.608066232011,0.608066231218,0.608066186972,0.608066274767,0.608066274296,0.608066273168,0.6080662676690001,0.608066241227,0.608066233918,0.6080662313180001,0.608066182015,0.608066273935,0.608066278702,0.608066274626,0.608066267535,0.608066241989,0.608066237671,0.6080662313390001,0.608066177177,0.608066285927,0.608066270834,0.608066275887,0.60806626785,0.6080662412969999,0.608066242818,0.608066231375,0.608066172644,0.608066291519,0.608066280074,0.60806626725,0.608066267611,0.608066242286,0.608066246435,0.608066231517,0.60806617099,0.608066288985,0.608066292906,0.608066256561,0.608066267898,0.608066263232,0.608066232334,0.60806623166,0.608066208939,0.608066216609,0.608066286713,0.608066260946,0.6080662695319999,0.608066267592,0.608066232946,0.608066231703,0.608066231012,0.608066193942,0.608066280147,0.608066265511,0.608066270824,0.608066267621,0.608066237168,0.6080662319110001,0.608066231282,0.608066189018,0.608066276131,0.60806627148,0.608066272366,0.608066304014
Core2,26.695496999999996,27.020134000000002,26.771877000000003,2.2670875,19.920548999999998,19.498732999999998,16.40342,9.8505785471,10.6689638,19.6059957,23.648577,26.222138,19.9519305,21.350657,25.388444,23.779195,20.374784299999998,21.819582999999998,24.772879999999997,22.195432,21.4398,18.203920999999998,20.502637,18.878996,13.0734,22.6783888,22.548683,20.637393,21.425957999999998,18.199882000000002,20.757893,18.941005,14.052501000000001,19.904563699999997,22.010457000000002,21.077573,21.429969,21.449371,18.060005,18.989044,17.982501,14.9822992,21.6187525,21.233811,21.591932,21.417271,18.308934,19.056964999999998,18.979132,14.0731802,21.2058914,21.414479,21.719637,21.414464000000002,18.447803,19.241217000000002,18.917503,13.822649400000001,20.9786675,21.808985,21.881062,21.412808,18.414029,19.561795,18.891569,13.5981882,21.2085099,21.7259435,22.060389,21.349486,18.342185,19.937303,18.899085999999997,13.369594199999998,22.087207,20.9908313,22.187076,21.391163,18.239635999999997,20.340191,18.951654,13.124563,22.4525035,21.4181457,21.696715,21.440153,18.114652,20.720379,19.015826,13.144219,22.2249811,22.200724100000002,20.896867,21.41495,20.391632,18.815847,19.073593,15.781379000000001,17.053784399999998,21.750050199999997,21.173182999999998,21.506527,21.413484,18.215942000000002,19.112318,18.896189,14.1224141,21.4077747,21.328951999999997,21.658804,21.378329,18.458145000000002,19.135801,18.891103,13.957768,21.083812100000003,21.649624,21.794983,21.435207000000002
Core3,0.608142515,0.6081406368,0.6081379915999999,0.60808925449,0.6081300417000001,0.6081333093,0.6081329986999999,0.6081175471,0.6081190649,0.6081238077000001,0.6081234675,0.6081284226,0.6081270929,0.6081328463,0.6081329986999999,0.6081331529999999,0.6081359554,0.6081376368,0.6081394492000001,0.6080662973,0.608066267945,0.608066240802,0.60806624518,0.6080662311899999,0.608066171099,0.608066293501,0.608066294653,0.608066255322,0.608066267716,0.608066245766,0.608066244924,0.608066231289,0.608066182991,0.608066257449,0.6080662904940001,0.6080662585559999,0.608066268664,0.608066267602,0.608066230593,0.608066231325,0.608066226048,0.608066199914,0.608066283992,0.608066262634,0.608066270152,0.608066267411,0.608066234766,0.608066231646,0.608066231361,0.608066192102,0.608066278176,0.608066267507,0.608066271411,0.608066267831,0.608066238683,0.608066232011,0.608066231218,0.608066186972,0.608066274767,0.608066274296,0.608066273168,0.6080662676690001,0.608066241227,0.608066233918,0.6080662313180001,0.608066182015,0.608066273935,0.608066278702,0.608066274626,0.608066267535,0.608066241989,0.608066237671,0.6080662313390001,0.608066177177,0.608066285927,0.608066270834,0.608066275887,0.60806626785,0.6080662412969999,0.608066242818,0.608066231375,0.608066172644,0.608066291519,0.608066280074,0.60806626725,0.608066267611,0.608066242286,0.608066246435,0.608066231517,0.60806617099,0.608066288985,0.608066292906,0.608066256561,0.608066267898,0.608066263232,0.608066232334,0.60806623166,0.608066208939,0.608066216609,0.608066286713,0.608066260946,0.6080662695319999,0.608066267592,0.608066232946,0.608066231703,0.608066231012,0.608066193942,0.608066280147,0.608066265511,0.608066270824,0.608066267621,0.608066237168,0.6080662319110001,0.608066231282,0.608066189018,0.608066276131,0.60806627148,0.608066272366,0.608066304014
Core4,15.502398999999999,15.737685999999998,15.396754000000001,14.611363,19.117836999999998,18.77414,16.667703,9.8505785471,9.8349797556,9.8634308077,10.4356743,19.732705,22.685472,24.358771,20.014723999999998,20.4048526,23.286293,24.313003,20.792979000000003,21.67015,21.167726000000002,18.826125,19.572165,18.941016,13.873653,21.8870637,22.9981525,20.193939,21.12955,19.137296,19.567549,18.934929999999998,14.940574,19.31103,22.3920279,20.553524,21.198231,21.098825,18.151255,18.867971,18.862473,14.842830300000001,21.878335500000002,20.734901,21.311856,21.072047,18.449827,18.828794,18.820612,14.836907,21.5453658,20.921251,21.373670999999998,21.125157,18.745981,18.760882000000002,18.872219,14.5868421,21.3339692,21.267085,21.456421,21.152562,18.931046,18.809412,18.92144,14.355062699999998,20.9886819,21.7612266,21.545,21.147665,19.010864,18.986789,18.963442,14.129625,21.3542745,21.49278,21.647033999999998,21.177425,18.963555,19.338639999999998,18.911153,13.949917000000001,21.783127399999998,22.1161215,20.896955,21.142785,18.643518,20.002402,18.862342,13.984944,21.564609,22.6174068,20.420363000000002,21.120972000000002,21.12005,18.080688000000002,18.787746,16.924657,16.578495999999998,22.0739923,20.671832000000002,21.233292000000002,21.136127,18.375739000000003,18.744243,18.905672,14.8742117,21.6264184,20.8715,21.277689000000002,21.172984,18.601371,18.741751,18.959493,14.6326587,21.4221785,21.151426999999998,21.37079,21.112014000000002
Core5,16.366311,15.589294,15.849167999999999,13.687338,18.268122,18.812422,17.087629999999997,9.8505285471,9.8350904462,9.8409208077,9.8438419504,9.831454047200001,11.0665517,19.077538399999998,22.249714,24.492570999999998,21.117487,20.1199399,22.121136,21.756930999999998,21.127727,19.102984,19.672824,18.796498,14.310154,21.8743995,23.0420832,19.936795,21.082701999999998,19.634605,19.478427,18.749566,15.435026,19.290094699999997,22.489511899999997,20.212871,21.168717,21.163191,18.426789000000003,18.749601000000002,18.875339999999998,15.360556599999999,21.9162002,20.464571,21.280682000000002,21.123099,18.666588,18.801733,18.956214000000003,15.207030800000002,21.5323673,20.704034,21.347015,21.132613,18.902445,18.869675,18.8961,14.9865324,21.3260616,21.045738,21.462971,21.110535000000002,19.102535999999997,18.977306,18.843231,14.788941399999999,20.980449,21.488840600000003,21.573134,21.095547,19.250014999999998,19.160562,18.778148,14.593728,21.3537714,21.19042,21.72587,21.095059,19.193544,19.507147,18.751934,14.409604999999999,21.7734949,22.119708300000003,20.712013,21.038634,18.952875,20.01315,18.771926,14.43339,21.5425453,22.7299441,20.115772,21.109429000000002,21.15948,18.240223,18.835375,17.404235999999997,16.5709128,22.1621228,20.365883,21.28631,21.054809,18.547271,18.888609,18.8613,15.3258052,21.6297799,20.581782,21.365161999999998,21.083063,18.782679,18.949099,18.815723000000002,15.1081869,21.431042,20.866386,21.458633,21.14147
Core6,15.169142,15.015979000000002,15.896851999999999,13.793029,18.623719,18.933275,16.627684,9.8505785471,9.8397804462,9.8505108077,9.824631950399999,9.8425540472,9.8412836935,9.8217647101,10.962292699999999,16.2291512,20.190185,24.56328,24.555295,21.775146,21.191939,19.075003,19.681820000000002,18.882413,14.700584,21.8693313,23.0819469,19.650982,21.171654,20.029605,19.00176,18.926113,15.810522,19.300037600000003,22.5334462,19.912639000000002,21.282102,21.093785,18.381594,18.991533999999998,18.869067,15.7308234,21.938565899999997,20.157348000000002,21.37461,21.098887,18.6685,18.975146,18.773357999999998,15.7368259,21.477759699999996,20.391916000000002,21.473369,21.159717999999998,18.982934,18.880842,18.799583,15.4799693,21.2573711,20.736601500000003,21.569554999999998,21.166987,19.245847,18.870852,18.861119,15.222942999999999,20.9440204,21.1619798,21.647774,21.192331,19.296939000000002,19.067837,18.915928,14.969486999999999,21.3256889,20.881776100000003,21.769582999999997,21.239082,19.13109,19.450982999999997,18.968889,14.741142000000002,21.7571145,22.1256676,20.419624,21.158321,19.345270000000003,19.551565,18.996554,14.740893,21.5477805,22.757339899999998,19.784306,21.199496,21.149604,18.286286999999998,18.95093,17.814586,16.5934514,22.1850628,20.033033,21.323057000000002,21.157777,18.588977,18.888379999999998,18.839406,15.7843633,21.609973800000002,20.314919,21.399842,21.184395000000002,18.878836,18.826701999999997,18.876182,15.5439345,21.3559902,20.608977,21.484037,21.135925
Core7,0.608142515,0.6081406368,0.6081379915999999,0.60808925449,0.6081300417000001,0.6081333093,0.6081329986999999,0.6081175471,0.6081190649,0.6081238077000001,0.6081234675,0.6081284226,0.6081270929,0.6081328463,0.6081329986999999,0.6081331529999999,0.6081359554,0.6081376368,0.6081394492000001,0.6080662973,0.608066267945,0.608066240802,0.60806624518,0.6080662311899999,0.608066171099,0.608066293501,0.608066294653,0.608066255322,0.608066267716,0.608066245766,0.608066244924,0.608066231289,0.608066182991,0.608066257449,0.6080662904940001,0.6080662585559999,0.608066268664,0.608066267602,0.608066230593,0.608066231325,0.608066226048,0.608066199914,0.608066283992,0.608066262634,0.608066270152,0.608066267411,0.608066234766,0.608066231646,0.608066231361,0.608066192102,0.608066278176,0.608066267507,0.608066271411,0.608066267831,0.608066238683,0.608066232011,0.608066231218,0.608066186972,0.608066274767,0.608066274296,0.608066273168,0.6080662676690001,0.608066241227,0.608066233918,0.6080662313180001,0.608066182015,0.608066273935,0.608066278702,0.608066274626,0.608066267535,0.608066241989,0.608066237671,0.6080662313390001,0.608066177177,0.608066285927,0.608066270834,0.608066275887,0.60806626785,0.6080662412969999,0.608066242818,0.608066231375,0.608066172644,0.608066291519,0.608066280074,0.60806626725,0.608066267611,0.608066242286,0.608066246435,0.608066231517,0.60806617099,0.608066288985,0.608066292906,0.608066256561,0.608066267898,0.608066263232,0.608066232334,0.60806623166,0.608066208939,0.608066216609,0.608066286713,0.608066260946,0.6080662695319999,0.608066267592,0.608066232946,0.608066231703,0.608066231012,0.608066193942,0.608066280147,0.608066265511,0.608066270824,0.608066267621,0.608066237168,0.6080662319110001,0.608066231282,0.608066189018,0.608066276131,0.60806627148,0.608066272366,0.608066304014
Core8,26.838174,26.891468,26.893946999999997,2.2419167,18.247932000000002,19.080322,19.029589,9.8371985471,9.8503104462,9.8505108077,9.8412119504,9.8322840472,9.8395736935,9.8358947101,9.8325766068,9.8255459029,10.276523,11.949146800000001,19.743706,21.987495000000003,21.163992,19.063378,19.866885,18.901158,15.036636999999999,21.9004987,22.9964266,19.55529,21.127067,20.537114000000003,18.758255,18.831125,16.206512,19.3159209,22.5570669,19.714565,21.237060999999997,21.196609,18.651670000000003,18.751935999999997,18.831598,16.247606599999997,22.0212319,19.917903,21.328536,21.177471,18.940704999999998,18.732819,18.853737,16.136292,21.5071048,20.201929,21.462557,21.20129,19.166567999999998,18.7476,18.915865,15.827929999999999,21.2382758,20.556718300000004,21.666748000000002,21.105461,19.294998,18.933078,18.923922,15.580506,21.026756,20.843858100000002,21.746302,21.140672,19.271495,19.277483,18.875641,15.346495,21.4097198,20.6047496,21.855783,21.169971,19.121029999999998,19.719066,18.82546,15.138228,21.806573699999998,22.0970522,20.300470999999998,21.088282,19.832667,19.373068,18.76025,15.167285000000001,21.575736499999998,22.7318345,19.670195,21.1767,21.232323,18.452038,18.728647,18.349415,16.6033026,22.2457547,19.84282,21.321320999999998,21.124858,18.794335999999998,18.739542999999998,18.926462,16.191781699999996,21.6725422,20.066958,21.444854,21.144312,19.048498000000002,18.791704,18.896639,15.948139900000001,21.3355655,20.396276999999998,21.612585,21.152142
Core9,26.848533000000003,26.957879,21.712232,0.7221392,18.950415,19.460268,13.9103098,9.8636385471,9.8350804462,9.8505108077,9.8258619504,9.8324140472,9.8395736935,9.8358947101,9.8301066068,9.8428259029,9.8331385715,9.8455765655,9.830279323600001,20.344391,19.895291,18.109329000000002,18.74847,17.822354999999998,14.721667000000002,21.6790304,18.5570913,17.701513000000002,19.857398,19.515623,17.565110999999998,17.883637,15.715357000000001,19.078001500000003,19.5150815,16.877966,19.925604999999997,19.785791,17.706103,17.933238,17.828789,16.3009757,19.0360306,17.177157,19.97414,19.813948999999997,17.906939,17.991393,17.794925,16.090031200000002,18.5340079,17.6299146,20.049538000000002,19.910505,18.131415,17.905738,17.806549,15.829406599999999,18.0763677,18.195833,20.196451,19.855187,18.382854000000002,17.916657999999998,17.7909,15.505557000000001,18.3144122,18.1893111,20.275038000000002,19.87545,18.298407,18.21936,17.821536,15.160020999999999,21.1262183,16.0180492,20.128674,19.875428,18.153422,18.593618,17.885465,14.808126000000001,21.583822100000003,17.417738399999998,18.68188,19.820307999999997,18.941713,18.041131,17.941936,14.707447,21.3542387,19.5839961,16.774439,19.8376,19.847704,17.547598,17.998367000000002,17.732279000000002,16.272506200000002,19.3011962,17.028223,19.943167000000003,19.867319000000002,17.801284,17.925478,17.796345000000002,16.2288757,18.7143878,17.4348768,20.013865,19.857842,18.146860999999998,17.835947,17.785129,16.00919,18.1936017,17.990030899999997,20.098212,19.797048
