UnitName,Power,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39
Core0,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core1,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core2,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core3,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core4,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core5,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core6,6.416969089,6.4188209060000005,6.4313528479999995,6.231755392999999,6.220964365,6.227256235,6.284533988,6.415985996,6.430394105,6.413069707999999,6.289073348,6.224539728,6.22366719,6.228136458,6.425617775,6.417860142,6.4178608310000005,6.357001798,6.23177429,7.5368185,7.0456091,7.4809077,7.1537823000000005,7.3294543,7.2015978,7.283561200000001,7.325522099999999,7.136119099999999,7.344264999999999,7.12823,7.4547275,7.010349799999999,7.5073295,6.9815259,7.6320380000000005,6.8704054,7.7071457,6.830837299999999,7.838621099999999,6.74706354
Core7,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core8,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
Core9,0.60806924282,0.60806924323,0.6080692459100001,0.6080692032,0.6080692008899999,0.6080692022399999,0.60806921448,0.6080692426100001,0.6080692457,0.6080692419899999,0.60806921547,0.60806920166,0.60806920147,0.60806920243,0.60806924467,0.60806924302,0.60806924302,0.60806923,0.6080676016,0.608066015778,0.608066012695,0.60806601558,0.608066012959,0.608066015169,0.608066013104,0.608066014999,0.608066013403,0.608066014603,0.6080660135029999,0.6080660145100001,0.608066013895,0.6080660140559999,0.608066014186,0.608066013799,0.6080660146360001,0.608066013373,0.6080660149939999,0.608066013107,0.608066015483,0.608066048181
