UnitName,Power,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,Power101,Power102,Power103,Power104,Power105,Power106,Power107,Power108,Power109,Power110,Power111,Power112,Power113,Power114,Power115,Power116,Power117,Power118,Power119,Power120,Power121,Power122,Power123,Power124,Power125,Power126,Power127,Power128,Power129,Power130,Power131,Power132,Power133,Power134,Power135,Power136,Power137,Power138,Power139,Power140,Power141,Power142,Power143,Power144,Power145,Power146,Power147,Power148,Power149,Power150,Power151,Power152,Power153,Power154,Power155
Core0,0.60818617,0.6082530677,0.6082733721,0.6082870693,0.6083043589,0.6083043589,0.6083310833,0.608269928,0.6081751228,0.6081472279,0.6082108039999999,0.6082672268,0.6082796488000001,0.6082965449000001,0.608309344,0.6083123716,0.6083154236,0.6082125286,0.6081484572,0.6081859233,0.6082296842,0.608269928,0.6082889105,0.608298462,0.6083123716,0.6083154236,0.6082761158,0.6081904472,0.6081472279,0.6082017765,0.6082562871,0.6082778746,0.6082936475999999,0.6083043589,0.6083154236,0.6083043589,0.6082296842,0.6081627758,0.6081690029,0.6082125286,0.6082716429999999,0.6082778746,0.608298462,0.608309344,0.608309344,0.6082733721,0.6082047456,0.6081579455,0.6081829641,0.6082360698,0.6082716429999999,0.6082889105,0.6082965449000001,0.6083185010000001,0.6082936475999999,0.60808645197,0.608067596347,0.6080675930039999,0.608067587761,0.608067597295,0.608067589421,0.6080675931449999,0.608067591556,0.608067594741,0.608067590487,0.608067588451,0.608067411098,0.608067634907,0.6080676582760001,0.6080676632159999,0.608067664448,0.608067665213,0.6080676630399999,0.608067664037,0.6080676642130001,0.608067662923,0.608067410379,0.608067563552,0.608067574719,0.608067563763,0.608067569189,0.608067571919,0.608067568027,0.608067573491,0.608067574412,0.608067564611,0.608066168466,0.608066141594,0.608067720812,0.608067739766,0.608067741445,0.608067743574,0.608067747644,0.608067751835,0.608067750558,0.608067748688,0.608067748986,0.6080675182899999,0.608067614545,0.608067650917,0.6080676659200001,0.608067665272,0.608067663802,0.60806766345,0.608067662689,0.608067663099,0.608067664742,0.608067436593,0.6080675820679999,0.608067596583,0.608067597438,0.608067589236,0.608067593566,0.60806759137,0.60806759611,0.608067588037,0.608067593801,0.608067594036,0.608066304063,0.608066138651,0.6080662100850001,0.608067738167,0.608067749584,0.60806774824,0.608067750333,0.6080677519100001,0.608067750633,0.608067750633,0.608067748837,0.6080677521360001,0.608067508054,0.608067632075,0.608067656033,0.608067664565,0.60806766158,0.608067664272,0.608067663333,0.608067663626,0.608067663685,0.608067665154,0.6080674262619999,0.60806759249,0.608067596347,0.6080675972,0.608067585288,0.608067597153,0.608067591091,0.608067593707,0.608067589005,0.6080675946,0.608067593379,0.60806618202,0.608066138613,0.608067420511,0.608067738602,0.60807096433
Core1,33.512817,38.109983,42.381289,43.562721999999994,46.865842,46.163123999999996,51.106907,28.749503999999998,7.6438546,22.642098,36.934377000000005,40.709553,43.13369,45.611821,46.955897,49.446471,47.337055,10.178831,12.864761,34.172843,38.042730999999996,41.962429,43.886086,46.545699,47.213915,51.421032000000004,25.489462,7.6811015,21.323819,37.092482000000004,40.935251,42.574484000000005,47.084115999999995,44.691205,51.683771,45.005987,8.332214,7.618966599999999,34.882065999999995,37.909185,42.04609,43.312826,46.488735999999996,48.453459,50.95258,22.474521,7.7036772,19.311363,34.800406,41.473966,42.265081,47.873895000000005,43.203064000000005,53.570767000000004,41.113588,29.514440000000004,31.520445000000002,32.421469,31.346584000000004,32.392925,31.354924,31.998791999999998,31.747490999999997,31.733856,31.802738,31.602579,31.279965,34.136540000000004,35.385872,35.325106,35.536055,35.590244,35.515788,35.538374,35.118382000000004,35.50936,33.396024,30.093931,30.757979,30.113965999999998,30.510509999999996,30.451057000000002,30.465379,30.575575,30.701828999999996,30.143378000000002,11.681338,8.672818,39.553822,40.301786,40.011148999999996,40.028203999999995,40.592594,40.758703000000004,40.473775,40.171176,40.529337,28.605202000000002,32.224713,34.567465999999996,35.905042,35.877435,35.253597,35.605894,35.694321,35.55983,35.565736,35.335661,31.443953999999998,32.085477000000004,31.775975,31.794376,32.105973999999996,31.483333000000002,32.177640000000004,31.35047,32.220107,31.336994,24.024070000000002,8.496132000000001,12.271847,40.246239,40.161876,40.112505,40.237079,40.568809,40.868102,40.209601,40.500077000000005,40.502569,28.816034000000002,34.047428000000004,35.733672,35.494512,35.431024,35.417481,35.23359,35.592658,35.693132,35.780196999999994,33.808695,32.384901,31.463065000000004,32.340243,31.435151,32.413266,31.226515999999997,32.248121999999995,31.348042,32.02845,31.513461,14.906448000000001,8.464706,23.939248000000003,40.385165,40.276658000000005
Core2,33.945892,38.506924,42.058303,43.603034,46.826563,46.731139,51.122645,26.932431,7.6684503,23.626361,36.524262,40.966001,42.584662,46.798947999999996,45.002573999999996,51.064076,45.840014000000004,9.293958,13.266539000000002,34.327705,37.370723,41.680741,44.063883000000004,46.460124,47.612582,51.261247,24.7862,7.707182,21.723131,36.892338,40.637326,42.564822,47.102558,44.314393,51.840969,44.864821,8.201347,7.645383099999999,35.344978000000005,37.317171,42.122157,43.129705,46.414761,48.368017,51.168578000000004,22.406567000000003,7.7048235,19.201082,35.068595,40.947831,42.346154,47.105136,43.57159,53.123512,42.15565,29.446503999999997,31.440046999999996,32.298946,31.353521999999998,32.241341,31.253805,32.368767999999996,31.323671,32.149612,31.295644,31.885756,32.311221,34.664453,35.224471,36.00966,35.353756,35.59632,35.586791999999996,35.793343,35.611857,35.13665,31.732117,30.121004,30.791746999999997,30.092788,30.492503999999997,30.492549,30.344592,30.664883000000003,30.694740999999997,30.277438,11.646192999999998,8.729335,39.222038,39.854901,39.600443,40.381516999999995,39.798916,40.432431,40.02315,40.367055,40.570341,29.921546000000003,32.418958,35.825438,35.382793,35.603587,35.650162,35.436853,35.528096000000005,35.463263,35.499854,34.954112,31.340498999999998,32.170567,31.601469,31.941078000000005,31.684952000000003,31.748509999999996,31.782538,31.631106,31.858734000000002,31.649417,24.154247,8.493859,12.447349,39.457347,40.387888000000004,40.006494,40.217002,40.191217,40.177329,40.605009,40.141513,40.528345,30.016256,35.151517999999996,34.953803,35.661097,35.41146,35.828428,35.863669,35.575399,35.248483,35.582108000000005,32.851521999999996,32.235671999999994,31.521704999999997,32.228353000000006,31.338052,32.262813,31.307426,32.367593,31.14051,32.244546,31.088581,15.106435999999999,8.471961,23.533394,39.926392,40.32687
Core3,33.827313000000004,38.338105999999996,42.509643,43.595949,47.249065,46.270193,50.894779,28.15805,7.670205999999999,23.191357,37.050119,41.186664,43.236118,47.723592,44.86436,51.261286,45.105165,9.053533999999999,13.341417000000002,34.528093,37.683757,42.233958,45.669008000000005,47.057265,48.730757000000004,50.32803,21.454801,7.705730099999999,22.483365,37.03283,41.969617,42.730469,49.252613000000004,44.169961,52.663227,38.63995,7.772389200000001,9.482938,35.282703999999995,37.626024,43.678784,45.656827,47.714546999999996,49.617846,47.677575,15.268051000000002,7.7046301999999995,21.215889,36.337749,42.342181,43.039671000000006,48.292046,45.860194,49.771522,32.015477000000004,30.685067,31.526521999999996,32.470083,31.344324,32.274384000000005,31.729919,31.739265000000003,32.455494,31.354013000000002,32.404126,30.050119,16.122232,34.726175,36.022107,35.385253000000006,35.701853,35.883140999999995,35.782224,35.409401,35.850594,36.08766,14.983401999999998,30.117544,30.771231,30.086365999999998,30.511235,30.515559000000003,30.331884999999996,30.670745,30.680968,30.218914,11.638807,7.840103,39.209029,39.496629,39.915296000000005,40.446833000000005,39.851467,40.375214,39.958096999999995,40.293288000000004,40.617329999999995,30.184842,34.825741,34.922994,36.168208,35.526478000000004,35.776953999999996,35.745335,35.805869,35.449242,35.721252,16.182548,31.371415000000002,32.160937,31.879972,31.712165999999996,32.377414,31.519985,32.558731,31.392046999999998,32.082904,31.709551,11.283772,8.474458,11.156104,39.414563,40.310598,40.227434,40.105565000000006,40.189493,40.133977,40.449849,40.213039,40.58657,30.531995000000002,34.984739000000005,35.575759999999995,35.949128,35.644648,35.761246,35.324403000000004,35.902882,35.965418,35.704512,15.392629000000001,32.423712,31.515713,32.519356,31.451743,32.248602000000005,31.779715000000003,31.732578000000004,32.194513,31.454826,32.432689,7.188594,8.479257,20.830503,39.874385,40.294973999999996
Core4,34.046712,36.691984000000005,43.659909000000006,42.249387,49.542477000000005,44.275942,52.696987,35.269346999999996,7.1708012000000005,18.406485,34.214463,39.795476,43.006489,44.681748999999996,47.512721,47.594653,51.26948,19.962142999999998,7.1728304000000005,32.094957,36.684084999999996,40.850846000000004,44.565924,44.9945,48.071521000000004,49.983544,45.295466,8.069844,13.403970000000001,34.256639,36.964337,43.312163,42.104749,49.897199,43.520447999999995,53.211960999999995,29.5104,7.2396644,21.488829,34.491997999999995,39.939699,42.879883,44.829284,47.507131,46.724854,51.747549,14.615144,7.1423086,31.097178999999997,36.444231,41.183021000000004,43.553688,45.450439,46.896951,50.434672,24.028959,31.704351000000003,30.603298,31.130622,31.267558,30.973467,30.808092,31.309967999999998,31.416715999999997,30.405585,31.301746,20.321013,34.435425,35.003004,35.040873,35.245846,35.248612,35.070842,35.327938,35.518392,35.392385,18.686738000000002,30.149795,30.674174,30.182909999999996,30.440559999999998,30.549117,30.390296000000003,30.638615,30.678462,30.272906,11.160829,8.244708000000001,37.629339,38.708332,38.815988,39.022034000000005,39.614746999999994,39.75338,39.902221000000004,39.448943,39.289313,35.642124,34.075358,34.752573999999996,35.228887,35.249855,35.161309,35.212453000000004,35.203128,35.283384999999996,35.453428,19.109189,30.565943,31.353185999999997,31.590615999999997,30.710572999999997,30.935259000000002,31.571296999999998,31.233596000000002,30.6357,31.239829999999998,31.357505,15.068694,7.916714999999999,11.838455,38.569571999999994,39.779931,39.892103999999996,39.682189,39.556129,39.898855,39.885168,39.280571,39.725147,33.825773,32.971482,34.46685,35.306627,35.412896999999994,35.017098,34.982914,35.325894,35.425643,35.417818,20.400382,30.857322999999997,31.666838000000002,31.396541,30.331065999999996,31.293546999999997,31.705289,30.613072,31.072631,31.26965,31.162109,9.362960000000001,7.941914,22.951524,38.612854999999996,39.162282
Core5,35.039423,37.388356,41.73268,43.195725,46.096858000000005,46.342414,50.686881,43.932201,7.252797599999999,16.11309,35.415026,37.833626,44.550419,42.106474,49.029537,43.174529,52.982038,25.386421,7.0959963,27.239048999999998,35.725327,40.213582,43.211584,44.66118,46.684557,47.788869,51.36975,13.355732000000001,10.266209,34.580914,37.967183,41.220303,44.243593,44.460259,47.188049,49.319221,38.602463,7.191082300000001,18.263799,35.035511,37.812948999999996,44.274158,41.629164,48.546508,43.033011,51.841832000000004,22.371126999999998,7.182187700000001,26.107415,35.421793,39.981202,43.553027,44.258501,47.989391,45.470399,24.424743,31.549201,30.829734000000002,30.882083,31.230234999999997,31.266524,30.705531,31.347140000000003,31.384798999999997,30.495758000000002,31.291355,20.268489000000002,32.995374,34.697788,35.213256,35.373616999999996,35.283589,34.990066999999996,35.083003999999995,35.263664,35.058527000000005,20.26128,30.13488,30.664381,30.226091999999998,30.248371999999996,30.671158000000002,30.415868,30.678931,30.688136,30.182778999999996,8.153229,8.242791,37.634516,38.733391,38.831903999999994,39.513532,40.082151,39.61376,39.499254,39.817617,39.618541,25.539214,32.585276,35.419216999999996,35.360879,35.095013,34.990246,35.132042,35.208045,35.255515,35.278622,20.004613,30.520639000000003,31.253877000000003,31.715165000000002,30.764454999999998,30.863129999999998,31.540512,31.316593,30.334667,31.071102000000003,31.499088,15.283233,7.918937,11.807684,38.593422,39.839571,39.847569,39.485468,39.735864,39.897433,39.898,39.284104,39.621478,24.719213,32.950288,34.46532,35.144765,34.866655,35.178512,35.303943,35.096451,34.968669,35.125468,21.237154,30.785453999999998,31.554090999999996,31.477928000000002,30.413752000000002,31.225948,31.676104,30.674861,30.686068,31.225699,31.61812,9.442627,7.95293,22.659637,38.672123,39.280532
Core6,33.465345,36.35163,40.129098,43.249162,44.199876,46.691306,47.338435,49.752971,10.206899,14.087732,34.075837,35.737465,42.186062,42.99576,45.079812,48.049904999999995,49.628242,34.11081,7.067358500000001,23.331459,35.123973,37.182221999999996,43.989713,40.919637,48.652927000000005,42.437521000000004,53.164099,21.613137,7.1763554,32.414077,34.795336999999996,39.820291999999995,43.481085,44.589102000000004,47.531739,44.644988,49.407625,10.14419,12.342357000000002,33.894362,36.021767,40.317130999999996,42.310417,43.841556,45.779790999999996,49.885675,36.844097999999995,7.1968588,19.574444,33.990128000000006,36.063074,40.797684999999994,43.971428,43.957778999999995,47.201932,25.6574,31.575639000000002,30.844425,30.521803000000002,31.003256,31.324962,30.809003999999998,30.321945,31.011514000000002,31.422853000000003,30.906022999999998,21.161013,32.970073,34.584136,35.059021,35.060102,34.868589,34.892507,35.199243,35.199435,35.16644,20.826985,30.287791,30.506794,30.350238,30.458472999999998,30.510579999999997,30.360190999999997,30.676977,30.68876,30.170966999999997,8.165734,8.22918,38.340303000000006,39.659591,38.831629,38.983368,39.306512,39.755948,40.152725,39.399072,39.407323999999996,25.090505,32.125034,33.92587,35.021987,35.081920000000004,34.956973,34.972317,34.981004999999996,34.965375,35.053616999999996,22.272533,30.472896999999996,30.998707,31.27273,31.313671999999997,30.502087,30.706963000000002,30.806987,31.340405,30.892232,30.425578,16.373624,7.927486,11.809319,39.277553000000005,39.734784999999995,39.438447,39.868091,39.815889,39.802122999999995,39.534099,39.754535,39.640696000000005,24.207235999999998,32.819549,34.3102,34.801817,34.996774,35.085409000000006,34.965803,35.158324,35.021184999999996,34.934865,21.908708999999998,30.632084999999996,31.228881,31.061168,31.016828999999998,30.648477000000003,30.750740999999998,31.028716999999997,31.384463,30.458743,30.765725,10.175546,7.940100999999999,22.781677,38.780516999999996,39.013489
Core7,0.7163495,32.155787,34.968857,36.966545,42.182888,43.322256,44.394271999999994,48.010329999999996,46.97995,7.141076700000001,14.971060999999999,32.952339,36.005082,39.022987,43.701227,41.427171,47.524333,48.22613,25.708849,7.283627799999999,24.685493,33.373123,36.19359,39.900434000000004,43.104584,46.102253000000005,45.095469,50.024716,13.384205999999999,7.336054300000001,34.947739,35.691542999999996,36.488003000000006,42.232214,43.74794,45.402646999999995,46.730567,36.815221,7.3097649,16.646348,32.985979,35.09605,40.495596,43.785157,41.731840000000005,49.733167,47.643389,21.648429999999998,7.2683103000000004,25.005405,33.416470000000004,36.025412,39.904939,43.701969,44.559738,27.143891999999997,31.592377000000003,31.135308000000002,30.775628,31.303188000000002,31.375785999999998,30.747759000000002,31.299559999999996,31.411428000000004,30.471264,31.303990999999996,20.246385999999998,33.114196,34.675153,35.308665000000005,35.340988,35.398996999999994,35.212831,35.099499,34.98492,34.966057,20.21025,30.128665,30.659053000000004,30.165359000000002,30.149359999999998,30.871470000000002,30.367053000000002,30.647058,30.699239000000002,30.181348,8.181041,8.217364,37.719383,38.710761,40.110690999999996,39.253258,39.276753,39.701463000000004,39.708479,39.865718,39.502414,25.144698,32.170865,34.092566999999995,35.208565,35.287349,35.294024,35.057966,35.049054999999996,35.242115000000005,35.216640000000005,21.262335,30.48181,31.227937,31.62248,30.845104,30.875120000000003,31.57443,31.266289,30.580059000000002,31.269640999999996,31.353962,15.091204000000001,7.945003,11.855928,39.3264,39.674531,39.494803000000005,39.959902,39.926266,39.397128,39.597423,40.114412,39.832337,23.916226,33.056736,35.010215,35.239925,35.02902,35.314946,35.319747,35.238859000000005,35.257436,35.473366999999996,19.953301,30.924352000000003,31.424384000000003,31.598196,30.291465000000002,31.270344,31.608577,30.724871999999998,31.019789000000003,31.320989,31.177531,9.407604,7.944564,22.735073999999997,38.743023,39.525622
Core8,2.1189782000000004,26.954655,32.149634000000006,35.569817,38.154,42.332113,46.728009,44.481328000000005,49.574589,9.877825999999999,10.051964,34.498129999999996,35.671944,36.197395,42.605368,43.471477,44.300513,47.820648999999996,29.872502,7.335740700000001,19.166309,32.176806,35.404146999999995,40.230896,44.160137,40.790541,49.464433,47.894479,17.818296,7.3138455,28.833096,33.668521999999996,35.477751,40.002389,43.662252,45.109642,47.333873,41.885195,7.2635067,9.412699,34.888253999999996,35.230921,36.705937,42.454873,42.451308000000004,45.344263,47.782451,28.789413,7.345833,18.731406,32.239587,35.903546999999996,39.407866999999996,43.699767,41.573739,29.393057000000002,31.847193,31.041462,31.690322,31.458465000000004,31.009448,31.940469,30.854894,31.791036,31.329344,31.532102000000002,18.155136,34.255533,35.173426,35.102807,35.270942,35.387526,35.346897,35.421346,35.488188,35.407292,18.372783,30.136347999999998,30.793594,30.070681,30.478332,30.498575,30.369702,30.651938,30.687183,30.192387,8.138394,8.225394,37.880258000000005,38.776754,40.050861,39.262189,39.391335999999995,39.809499,39.906106,39.515034,39.40405,25.110129,32.202781,34.185746,35.418359,35.524839,35.499946,35.53066,35.005545,35.290852,35.327523,20.35631,30.849141999999997,31.685571999999997,31.540706,31.190446,31.965436999999998,30.764963,31.646256,31.355625,31.420183,32.019991,13.430006,8.017157000000001,11.662687,38.956804999999996,39.616512,39.698206,39.839446,39.794428,39.822043,39.559893,39.348271000000004,39.8259,24.657794,34.122855,35.390132,35.445863,35.163356,35.420203,35.421018,35.010996,35.272253000000006,35.31525,18.861079999999998,31.180992,32.099939,30.848593,31.741111,31.448934,31.093474,31.932664000000003,30.842399,31.870140000000003,31.339288,8.495221,7.996308,22.729851999999998,39.381588,39.814005
Core9,0.71665363,29.482461999999998,32.500539,34.683549,39.115955,41.913765999999995,46.40658,44.524476,49.400348,10.040102000000001,9.622098,34.643417,35.263028000000006,36.500262,42.029994,42.635432,44.612328999999995,47.06389,30.782669,7.3351137,17.295749,32.403819,36.221638,38.703924,43.183046000000004,42.056961,47.905371,47.938384,19.346764999999998,7.3120324000000005,27.063108000000003,33.484489,34.647383000000005,39.922994,44.737185,43.04806,46.308369,44.20496,7.299112200000001,7.4236756999999995,35.50618,34.178226,37.995101,39.816266999999996,42.055386999999996,45.352239000000004,46.51433,31.649848,7.291599099999999,15.678823999999999,32.595337,36.924626,36.936535,42.567807,43.164444,29.407424,31.563765999999998,31.201970000000003,31.277485,31.57193,30.836873999999998,31.724075,31.402846000000004,31.379295000000003,31.926287,30.819489,18.653938,33.044361,34.681315999999995,35.278307,35.306504,35.32428,35.091305,35.16173,35.157267,34.926268,20.277823,30.144769,30.699025,30.153739,30.472776,30.529128000000004,30.350998999999998,30.651397999999997,30.681763,30.186898,8.214972,8.164231,38.198012,39.901837,38.846695000000004,39.221109000000006,39.993396000000004,39.704859,39.628544,39.611476,39.652403,24.547831,32.139143,34.132529999999996,35.237471,35.403673,35.311429,35.041589,34.931331,35.128537,35.242014000000005,21.296616,30.805264,31.455174,31.77505,30.834155,31.666591999999998,31.120846999999998,31.355301,31.904356,30.993584999999996,31.911518,13.772778,8.028539,11.647367,39.685428,39.445803000000005,39.455887,39.879979999999996,40.084084000000004,39.484559999999995,39.613608,39.884391,39.795228,23.955682999999997,32.929018,34.425473,35.180184000000004,34.967021,35.114081,35.363898,34.98487,34.994106,35.244854,21.120358,31.031333,31.850711999999998,31.187669,31.226886999999998,31.813134,30.757367,31.763015000000003,31.24,31.574557000000002,31.869809000000004,8.56364,7.995442,22.610685999999998,39.378158,39.75817
