test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64ua-v-amomax_d	isa	PASS	0	54.163		campaigns/cpu-isa/rv64ua-v-amomax_d/simulation.log	cpu-isa
rv64ua-v-amomax_w	isa	PASS	0	61.026		campaigns/cpu-isa/rv64ua-v-amomax_w/simulation.log	cpu-isa
rv64ua-v-amomaxu_d	isa	PASS	0	62.563		campaigns/cpu-isa/rv64ua-v-amomaxu_d/simulation.log	cpu-isa
rv64ua-v-amomaxu_w	isa	PASS	0	62.465		campaigns/cpu-isa/rv64ua-v-amomaxu_w/simulation.log	cpu-isa
rv64ua-v-amomin_d	isa	PASS	0	56.498		campaigns/cpu-isa/rv64ua-v-amomin_d/simulation.log	cpu-isa
rv64ua-v-amomin_w	isa	PASS	0	53.412		campaigns/cpu-isa/rv64ua-v-amomin_w/simulation.log	cpu-isa
rv64ua-v-amominu_d	isa	PASS	0	52.81		campaigns/cpu-isa/rv64ua-v-amominu_d/simulation.log	cpu-isa
rv64ua-v-amominu_w	isa	PASS	0	55.37		campaigns/cpu-isa/rv64ua-v-amominu_w/simulation.log	cpu-isa
rv64ua-v-amoor_d	isa	PASS	0	51.144		campaigns/cpu-isa/rv64ua-v-amoor_d/simulation.log	cpu-isa
rv64ua-v-amoor_w	isa	PASS	0	54.21		campaigns/cpu-isa/rv64ua-v-amoor_w/simulation.log	cpu-isa
rv64ua-v-amoswap_d	isa	PASS	0	52.701		campaigns/cpu-isa/rv64ua-v-amoswap_d/simulation.log	cpu-isa
rv64ua-v-amoswap_w	isa	PASS	0	50.797		campaigns/cpu-isa/rv64ua-v-amoswap_w/simulation.log	cpu-isa
rv64ua-v-amoxor_d	isa	PASS	0	73.732		campaigns/cpu-isa/rv64ua-v-amoxor_d/simulation.log	cpu-isa
rv64ua-v-amoxor_w	isa	PASS	0	92.918		campaigns/cpu-isa/rv64ua-v-amoxor_w/simulation.log	cpu-isa
rv64uc-p-rvc	isa	PASS	0	5.246		campaigns/cpu-isa/rv64uc-p-rvc/simulation.log	cpu-isa
rv64ua-v-lrsc	isa	PASS	0	94.399		campaigns/cpu-isa/rv64ua-v-lrsc/simulation.log	cpu-isa
rv64ud-p-fadd	isa	PASS	0	5.398		campaigns/cpu-isa/rv64ud-p-fadd/simulation.log	cpu-isa
rv64ud-p-fclass	isa	PASS	0	4.958		campaigns/cpu-isa/rv64ud-p-fclass/simulation.log	cpu-isa
rv64ud-p-fcmp	isa	PASS	0	6.146		campaigns/cpu-isa/rv64ud-p-fcmp/simulation.log	cpu-isa
rv64ud-p-fcvt	isa	PASS	0	5.71		campaigns/cpu-isa/rv64ud-p-fcvt/simulation.log	cpu-isa
rv64ud-p-fcvt_w	isa	PASS	0	9.671		campaigns/cpu-isa/rv64ud-p-fcvt_w/simulation.log	cpu-isa
rv64ud-p-fdiv	isa	PASS	0	6.205		campaigns/cpu-isa/rv64ud-p-fdiv/simulation.log	cpu-isa
rv64uc-v-rvc	isa	PASS	0	86.97		campaigns/cpu-isa/rv64uc-v-rvc/simulation.log	cpu-isa
rv64ud-p-fmadd	isa	PASS	0	6.156		campaigns/cpu-isa/rv64ud-p-fmadd/simulation.log	cpu-isa
rv64ud-p-fmin	isa	PASS	0	6.757		campaigns/cpu-isa/rv64ud-p-fmin/simulation.log	cpu-isa
rv64ud-p-ldst	isa	PASS	0	4.845		campaigns/cpu-isa/rv64ud-p-ldst/simulation.log	cpu-isa
rv64ud-p-recoding	isa	PASS	0	4.747		campaigns/cpu-isa/rv64ud-p-recoding/simulation.log	cpu-isa
rv64ud-p-move	isa	PASS	0	12.593		campaigns/cpu-isa/rv64ud-p-move/simulation.log	cpu-isa
rv64ud-p-structural	isa	PASS	0	6.16		campaigns/cpu-isa/rv64ud-p-structural/simulation.log	cpu-isa
rv64ud-v-fclass	isa	PASS	0	36.795		campaigns/cpu-isa/rv64ud-v-fclass/simulation.log	cpu-isa
rv64ud-v-fadd	isa	PASS	0	59.774		campaigns/cpu-isa/rv64ud-v-fadd/simulation.log	cpu-isa
rv64ud-v-fcmp	isa	PASS	0	63.504		campaigns/cpu-isa/rv64ud-v-fcmp/simulation.log	cpu-isa
rv64ud-v-fcvt	isa	PASS	0	63.755		campaigns/cpu-isa/rv64ud-v-fcvt/simulation.log	cpu-isa
rv64ud-v-fdiv	isa	PASS	0	63.263		campaigns/cpu-isa/rv64ud-v-fdiv/simulation.log	cpu-isa
rv64ud-v-fcvt_w	isa	PASS	0	90.726		campaigns/cpu-isa/rv64ud-v-fcvt_w/simulation.log	cpu-isa
rv64ud-v-fmadd	isa	PASS	0	73.736		campaigns/cpu-isa/rv64ud-v-fmadd/simulation.log	cpu-isa
rv64ud-v-fmin	isa	PASS	0	72.172		campaigns/cpu-isa/rv64ud-v-fmin/simulation.log	cpu-isa
rv64ud-v-ldst	isa	PASS	0	68.858		campaigns/cpu-isa/rv64ud-v-ldst/simulation.log	cpu-isa
rv64ud-v-move	isa	PASS	0	79.64		campaigns/cpu-isa/rv64ud-v-move/simulation.log	cpu-isa
rv64ud-v-structural	isa	PASS	0	43.181		campaigns/cpu-isa/rv64ud-v-structural/simulation.log	cpu-isa
rv64uf-p-fadd	isa	PASS	0	6.717		campaigns/cpu-isa/rv64uf-p-fadd/simulation.log	cpu-isa
rv64ud-v-recoding	isa	PASS	0	67.954		campaigns/cpu-isa/rv64ud-v-recoding/simulation.log	cpu-isa
rv64uf-p-fclass	isa	PASS	0	6.519		campaigns/cpu-isa/rv64uf-p-fclass/simulation.log	cpu-isa
rv64uf-p-fcmp	isa	PASS	0	7.431		campaigns/cpu-isa/rv64uf-p-fcmp/simulation.log	cpu-isa
rv64uf-p-fcvt	isa	PASS	0	5.963		campaigns/cpu-isa/rv64uf-p-fcvt/simulation.log	cpu-isa
