test	baseline	current	suite
rv64ua-v-amoand_w	PASS	PASS	isa
rv64ua-v-amomax_d	PASS	PASS	isa
rv64ua-v-amomax_w	PASS	PASS	isa
rv64ua-v-amomaxu_d	PASS	PASS	isa
rv64ua-v-amomaxu_w	PASS	PASS	isa
rv64ua-v-amomin_d	PASS	PASS	isa
rv64ua-v-amomin_w	PASS	PASS	isa
rv64ua-v-amominu_d	PASS	PASS	isa
rv64ua-v-amominu_w	PASS	PASS	isa
rv64ua-v-amoor_d	PASS	PASS	isa
rv64ua-v-amoor_w	PASS	PASS	isa
rv64ua-v-amoswap_d	PASS	PASS	isa
rv64ua-v-amoswap_w	PASS	PASS	isa
rv64ua-v-amoxor_d	PASS	PASS	isa
rv64ua-v-amoxor_w	PASS	PASS	isa
rv64ua-v-lrsc	PASS	PASS	isa
rv64uc-p-rvc	PASS	PASS	isa
rv64uc-v-rvc	PASS	PASS	isa
rv64ud-p-fadd	PASS	PASS	isa
rv64ud-p-fclass	PASS	PASS	isa
rv64ud-p-fcmp	PASS	PASS	isa
rv64ud-p-fcvt	PASS	PASS	isa
rv64ud-p-fcvt_w	PASS	PASS	isa
rv64ud-p-fdiv	PASS	PASS	isa
rv64ud-p-fmadd	PASS	PASS	isa
rv64ud-p-fmin	PASS	PASS	isa
rv64ud-p-ldst	PASS	PASS	isa
rv64ud-p-move	PASS	PASS	isa
rv64ud-p-recoding	PASS	PASS	isa
rv64ud-p-structural	PASS	PASS	isa
rv64ud-v-fadd	PASS	PASS	isa
rv64ud-v-fclass	PASS	PASS	isa
rv64ud-v-fcmp	PASS	PASS	isa
rv64ud-v-fcvt	PASS	PASS	isa
rv64ud-v-fcvt_w	PASS	PASS	isa
rv64ud-v-fdiv	PASS	PASS	isa
rv64ud-v-fmadd	PASS	PASS	isa
rv64ud-v-fmin	PASS	PASS	isa
rv64ud-v-ldst	PASS	PASS	isa
rv64ud-v-move	PASS	PASS	isa
rv64ud-v-recoding	PASS	PASS	isa
rv64ud-v-structural	PASS	PASS	isa
rv64uf-p-fadd	PASS	PASS	isa
rv64uf-p-fclass	PASS	PASS	isa
rv64uf-p-fcmp	PASS	PASS	isa
rv64uf-p-fcvt	PASS	PASS	isa
rv64uf-p-fcvt_w	PASS	PASS	isa
rv64uf-p-fdiv	PASS	PASS	isa
rv64uf-p-fmadd	PASS	PASS	isa
rv64uf-p-fmin	PASS	PASS	isa
rv64uf-p-ldst	PASS	PASS	isa
rv64uf-p-move	PASS	PASS	isa
rv64uf-p-recoding	PASS	PASS	isa
rv64uf-v-fadd	PASS	PASS	isa
rv64uf-v-fclass	PASS	PASS	isa
rv64uf-v-fcmp	PASS	PASS	isa
rv64uf-v-fcvt	PASS	PASS	isa
rv64uf-v-fcvt_w	PASS	PASS	isa
rv64uf-v-fdiv	PASS	PASS	isa
rv64uf-v-fmadd	PASS	PASS	isa
rv64uf-v-fmin	PASS	PASS	isa
rv64uf-v-ldst	PASS	PASS	isa
rv64uf-v-move	PASS	PASS	isa
rv64uf-v-recoding	PASS	PASS	isa
rv64ui-p-add	PASS	PASS	isa
rv64ui-p-addi	PASS	PASS	isa
rv64ui-p-addiw	PASS	PASS	isa
rv64ui-p-addw	PASS	PASS	isa
rv64ui-p-and	PASS	PASS	isa
rv64ui-p-andi	PASS	PASS	isa
rv64ui-p-auipc	PASS	PASS	isa
rv64ui-p-beq	PASS	PASS	isa
rv64ui-p-bge	PASS	PASS	isa
rv64ui-p-bgeu	PASS	PASS	isa
rv64ui-p-blt	PASS	PASS	isa
rv64ui-p-bltu	PASS	PASS	isa
rv64ui-p-bne	PASS	PASS	isa
rv64ui-p-fence_i	PASS	PASS	isa
rv64ui-p-jal	PASS	PASS	isa
rv64ui-p-jalr	PASS	PASS	isa
rv64ui-p-lb	PASS	PASS	isa
rv64ui-p-lbu	PASS	PASS	isa
rv64ui-p-ld	PASS	PASS	isa
rv64ui-p-lh	PASS	PASS	isa
rv64ui-p-lhu	PASS	PASS	isa
rv64ui-p-lui	PASS	PASS	isa
rv64ui-p-lw	PASS	PASS	isa
rv64ui-p-lwu	PASS	PASS	isa
rv64ui-p-ma_data	FAIL	FAIL	isa
rv64ui-p-or	PASS	PASS	isa
rv64ui-p-ori	PASS	PASS	isa
rv64ui-p-sb	PASS	PASS	isa
rv64ui-p-sd	PASS	PASS	isa
rv64ui-p-sh	PASS	PASS	isa
rv64ui-p-simple	PASS	PASS	isa
rv64ui-p-sll	PASS	PASS	isa
rv64ui-p-slli	PASS	PASS	isa
rv64ui-p-slliw	PASS	PASS	isa
rv64ui-p-sllw	PASS	PASS	isa
rv64ui-p-slt	PASS	PASS	isa
rv64ui-p-slti	PASS	PASS	isa
rv64ui-p-sltiu	PASS	PASS	isa
rv64ui-p-sltu	PASS	PASS	isa
rv64ui-p-sra	PASS	PASS	isa
rv64ui-p-srai	PASS	PASS	isa
rv64ui-p-sraiw	PASS	PASS	isa
rv64ui-p-sraw	PASS	PASS	isa
rv64ui-p-srl	PASS	PASS	isa
rv64ui-p-srli	PASS	PASS	isa
rv64ui-p-srliw	PASS	PASS	isa
rv64ui-p-srlw	PASS	PASS	isa
rv64ui-p-sub	PASS	PASS	isa
rv64ui-p-subw	PASS	PASS	isa
rv64ui-p-sw	PASS	PASS	isa
rv64ui-p-xor	PASS	PASS	isa
rv64ui-p-xori	PASS	PASS	isa
rv64ui-v-add	PASS	PASS	isa
rv64ui-v-addi	PASS	PASS	isa
