336.35788,326.3234,329.0465,330.15503,330.15503,330.15506,330.15506,330.15506,330.1551,330.15515,330.15524,330.1554,330.1556,330.15585,330.15616,330.1564,330.15656,330.15662,330.15656,330.15634,330.15607,330.1558,330.15552,330.15533,330.15518,330.15512,330.15506,330.15506,330.15506,384.53607,397.5216,423.89377
351.29318,343.03876,334.66107,340.90646,340.90646,340.9065,340.90662,340.90686,340.9074,340.90848,340.91037,340.9133,340.91736,340.9224,340.92783,340.93283,340.93646,340.93787,340.93668,340.93304,340.9278,340.922,340.91666,340.91248,340.90967,340.90796,340.9071,340.90668,340.90652,376.59573,379.4421,366.38574
345.79718,339.97086,336.07532,356.04404,356.0441,356.04425,356.04474,356.0459,356.0484,356.05316,356.06146,356.07428,356.092,356.11383,356.13748,356.1594,356.1755,356.1822,356.1776,356.1624,356.13974,356.1143,356.0906,356.0718,356.05887,356.0511,356.04703,356.04517,356.0444,394.63797,450.0,450.0
354.7172,372.93228,370.21338,404.1242,404.12448,404.1253,404.12756,404.13293,404.14435,404.166,404.20288,404.2591,404.33585,404.42926,404.5297,404.62262,404.69147,404.72162,404.7047,404.6424,404.54675,404.43713,404.33356,404.25006,404.19196,404.1567,404.13806,404.1294,404.1259,414.88443,392.4563,393.35092
354.7172,372.93228,370.21344,404.12448,404.12543,404.12823,404.13565,404.15314,404.18997,404.2593,404.37598,404.55167,404.7893,405.07742,405.38507,405.66608,405.87036,405.95706,405.9043,405.7174,405.43112,405.09882,404.78088,404.52188,404.33972,404.22836,404.16895,404.14124,404.1299,414.88556,392.4566,393.351
354.7172,372.9323,370.2136,404.1252,404.12802,404.13626,404.15796,404.20868,404.31433,404.5152,404.86362,405.39966,406.12558,406.98163,407.85785,408.61505,409.13165,409.31375,409.1099,408.54492,407.7226,406.80054,405.93024,405.2262,404.72638,404.41745,404.25113,404.17288,404.14072,414.8886,392.4574,393.3513
354.7172,372.9324,370.21402,404.1271,404.13452,404.15625,404.2128,404.34363,404.63037,405.18628,406.13434,407.50403,409.2511,411.25345,413.3509,415.16074,416.31995,416.70636,416.2488,414.99188,413.05838,410.77936,408.58664,406.82217,405.60147,404.85028,404.4411,404.24677,404.16614,414.89587,392.45935,393.35193
354.71722,372.9326,370.21497,404.1313,404.14886,404.2,404.33185,404.6567,405.3626,406.68225,408.76297,411.7612,415.80896,420.61707,425.37787,429.3362,431.80792,432.23178,430.60406,427.42807,423.23917,418.53894,413.93082,410.08813,407.36426,405.70657,404.82123,404.39612,404.21796,414.91077,392.4634,393.3533
354.7173,372.93295,370.21686,404.13965,404.17712,404.2852,404.57904,405.2947,406.77264,409.31116,413.51352,419.64108,427.1906,435.06958,442.3747,448.6842,450.0,450.0,450.0,448.125,440.25604,431.39178,422.87955,415.70193,410.4795,407.2171,405.47668,404.65732,404.3097,414.93762,392.47086,393.35583
354.7174,372.93362,370.22015,404.15424,404.22623,404.4371,405.0158,406.3727,408.96838,413.73398,421.64282,432.6405,444.43665,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,448.473,435.0805,423.6518,415.04608,409.50912,406.46616,405.04984,404.4496,414.97916,392.48257,393.36
354.7176,372.93466,370.2253,404.177,404.302,404.67682,405.67505,407.8651,412.2413,420.2478,433.0755,448.40833,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,447.9069,432.61752,420.46936,412.38998,407.76205,405.5531,404.63257,415.0346,392.49857,393.3658
354.7178,372.93613,370.23245,404.2082,404.40497,404.9946,406.5255,409.808,416.18817,427.85748,444.84668,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,440.2892,425.55417,415.24634,409.17017,406.10696,404.83566,415.09775,392.51727,393.37296
354.7181,372.93793,370.24112,404.2457,404.52716,405.35684,407.42947,411.78644,420.33032,436.88666,450.0,450.0,450.0,450.0,447.54083,442.74625,442.09515,444.6244,450.0,450.0,450.0,450.0,450.0,443.54254,428.91315,417.35052,410.3538,406.61108,405.02417,415.15833,392.53577,393.3803
354.71838,372.9398,370.2501,404.28418,404.65082,405.70212,408.21252,413.46228,423.95416,445.54645,450.0,450.0,450.0,441.65765,427.02963,420.28064,418.86688,421.53812,425.14203,426.4374,432.00235,440.0302,447.4561,443.02264,430.09857,418.26782,411.08035,406.975,405.16644,415.206,392.5509,393.3866
354.7186,372.9414,370.25784,404.3167,404.75275,405.9549,408.7168,414.62244,426.6536,450.0,450.0,450.0,450.0,423.98758,406.41214,399.68793,398.4279,405.71265,410.42438,408.97842,411.35498,421.48923,436.75415,439.61237,429.31067,418.03018,411.27734,407.145,405.24768,415.23486,392.5604,393.39075
354.71872,372.94247,370.26276,404.3366,404.81195,406.0833,408.89206,415.276,428.12152,450.0,450.0,450.0,450.0,421.36566,401.50644,394.4108,396.44492,404.4669,410.14444,407.07703,405.53745,412.39484,430.72455,437.47968,428.3732,417.32828,411.1547,407.16785,405.27188,415.24445,392.5637,393.3922
354.7187,372.94275,370.26392,404.34015,404.81772,406.0711,408.80835,415.47516,428.65268,450.0,450.0,450.0,450.0,435.8339,410.89807,402.16,407.24225,416.0235,421.99207,420.10364,414.7892,417.60645,433.536,438.2284,428.1242,416.7727,410.96878,407.0975,405.25125,415.2375,392.56128,393.391
354.7185,372.94217,370.26117,404.3275,404.77283,405.9267,408.48956,415.0083,427.7103,450.0,450.0,450.0,450.0,450.0,431.97693,423.21292,427.22644,434.52844,439.57544,436.69772,430.88104,431.293,440.6261,439.68546,427.35175,416.26273,410.72232,406.97565,405.19348,415.21652,392.55408,393.38757
354.71826,372.94092,370.25537,404.3022,404.69012,405.69742,407.9493,413.76413,425.29233,445.3503,450.0,450.0,450.0,450.0,450.0,447.11005,450.0,450.0,450.0,450.0,450.0,448.52765,448.8841,440.07434,426.11887,415.69962,410.32,406.77576,405.09808,415.1828,392.54297,393.38257
354.718,372.9393,370.24768,404.2694,404.58627,405.4138,407.28183,412.0577,421.81436,437.42926,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,437.4742,423.75296,414.73096,409.70853,406.4631,404.96396,415.1375,392.52872,393.3766
354.71774,372.93756,370.23938,404.23444,404.47675,405.11395,406.56326,409.98972,417.42767,428.63403,442.04245,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,448.1509,432.80887,420.76373,413.31122,408.8153,406.04498,404.799,415.08435,392.5127,393.37033
354.71753,372.93594,370.23157,404.2017,404.37405,404.83295,405.8939,408.20404,413.2074,421.54105,431.90457,442.43896,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,440.81195,426.98993,417.51837,411.54443,407.7484,405.5668,404.62256,415.02963,392.4967,393.36444
354.71738,372.9346,370.22507,404.17426,404.2873,404.59265,405.31287,406.79617,409.96887,415.85535,423.9373,433.9522,444.34436,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,445.5064,431.69092,421.22955,414.30252,409.6105,406.67096,405.1067,404.45892,414.98038,392.48267,393.3595
354.7173,372.93362,370.2202,404.15366,404.2213,404.4068,404.85303,405.7947,407.62433,411.22003,416.82376,424.25903,433.3857,441.82983,448.7787,450.0,450.0,450.0,450.0,450.0,443.2406,432.42105,423.04306,416.05698,411.0838,407.71414,405.7076,404.72635,404.32706,414.94162,392.47186,393.35587
354.71722,372.93298,370.217,404.1399,404.1765,404.27838,404.52774,405.06598,406.09286,407.92722,411.11816,415.613,421.41577,427.99426,434.0812,439.38452,443.12848,444.09537,440.973,435.2982,428.44324,421.74185,416.04504,411.57068,408.32047,406.19806,405.00275,404.45465,404.23456,414.91498,392.46454,393.3535
354.7172,372.93262,370.2151,404.13165,404.14944,404.1996,404.32428,404.59854,405.13367,406.06482,407.5144,409.76727,412.7221,416.2316,419.92065,423.10486,425.05835,425.34625,423.89337,421.03128,417.52417,413.94574,410.76807,408.16364,406.3208,405.15915,404.55792,404.28592,404.1778,414.89883,392.46014,393.35208
