test	suite	result	exit_status	wall_seconds	cycles	log	campaign
legacy-df_matmul-dual	legacy-mt	FAIL	255	119.545		campaigns/cpu-bench/legacy-df_matmul-dual/simulation.log	cpu-bench
legacy-dm_matmul-dual	legacy-mt	PASS	0	14.996		campaigns/cpu-bench/legacy-dm_matmul-dual/simulation.log	cpu-bench
legacy-do_matmul-dual	legacy-mt	FAIL	255	107.471		campaigns/cpu-bench/legacy-do_matmul-dual/simulation.log	cpu-bench
legacy-dr_matmul-dual	legacy-mt	FAIL	255	114.283		campaigns/cpu-bench/legacy-dr_matmul-dual/simulation.log	cpu-bench
legacy-ds_matmul-dual	legacy-mt	PASS	0	16.858		campaigns/cpu-bench/legacy-ds_matmul-dual/simulation.log	cpu-bench
legacy-du_matmul-dual	legacy-mt	FAIL	255	57.056		campaigns/cpu-bench/legacy-du_matmul-dual/simulation.log	cpu-bench
legacy-dv_matmul-dual	legacy-mt	CYCLE_TIMEOUT	255	432.385	2000001	campaigns/cpu-bench/legacy-dv_matmul-dual/simulation.log	cpu-bench
legacy-vvadd0-dual	legacy-mt	PASS	0	55.224		campaigns/cpu-bench/legacy-vvadd0-dual/simulation.log	cpu-bench
legacy-vvadd1-dual	legacy-mt	PASS	0	71.928		campaigns/cpu-bench/legacy-vvadd1-dual/simulation.log	cpu-bench
legacy-vvadd2-dual	legacy-mt	PASS	0	71.971		campaigns/cpu-bench/legacy-vvadd2-dual/simulation.log	cpu-bench
legacy-vvadd3-dual	legacy-mt	PASS	0	56.846		campaigns/cpu-bench/legacy-vvadd3-dual/simulation.log	cpu-bench
legacy-vvadd4-dual	legacy-mt	PASS	0	72.173		campaigns/cpu-bench/legacy-vvadd4-dual/simulation.log	cpu-bench
median	benchmark-configured	PASS	0	19.443		campaigns/cpu-bench/median/simulation.log	cpu-bench
memcpy	benchmark-extra	PASS	0	46.482		campaigns/cpu-bench/memcpy/simulation.log	cpu-bench
mm	benchmark-configured	PASS	0	201.376		campaigns/cpu-bench/mm/simulation.log	cpu-bench
mt-matmul	benchmark-configured	PASS	0	38.134		campaigns/cpu-bench/mt-matmul/simulation.log	cpu-bench
mt-matmul-dual	benchmark-dual	PASS	0	17.112		campaigns/cpu-bench/mt-matmul-dual/simulation.log	cpu-bench
mt-memcpy	benchmark-extra	PASS	0	144.407		campaigns/cpu-bench/mt-memcpy/simulation.log	cpu-bench
mt-memcpy-dual	benchmark-dual	PASS	0	102.487		campaigns/cpu-bench/mt-memcpy-dual/simulation.log	cpu-bench
mt-vvadd	benchmark-configured	PASS	0	67.612		campaigns/cpu-bench/mt-vvadd/simulation.log	cpu-bench
mt-vvadd-dual	benchmark-dual	PASS	0	74.003		campaigns/cpu-bench/mt-vvadd-dual/simulation.log	cpu-bench
multiply	benchmark-configured	PASS	0	40.118		campaigns/cpu-bench/multiply/simulation.log	cpu-bench
pmp	benchmark-configured	PASS	0	1013.445		campaigns/cpu-pmp/pmp/simulation.log	cpu-pmp
qsort	benchmark-configured	PASS	0	197.24		campaigns/cpu-bench/qsort/simulation.log	cpu-bench
rsort	benchmark-configured	PASS	0	248.319		campaigns/cpu-bench/rsort/simulation.log	cpu-bench
rv64mi-p-access	isa	PASS	0	1.683		campaigns/cpu-isa/rv64mi-p-access/simulation.log	cpu-isa
rv64mi-p-breakpoint	isa	PASS	0	1.629		campaigns/cpu-isa/rv64mi-p-breakpoint/simulation.log	cpu-isa
rv64mi-p-csr	isa	PASS	0	1.935		campaigns/cpu-isa/rv64mi-p-csr/simulation.log	cpu-isa
rv64mi-p-illegal	isa	PASS	0	2.031		campaigns/cpu-isa/rv64mi-p-illegal/simulation.log	cpu-isa
rv64mi-p-ld-misaligned	isa	PASS	0	1.777		campaigns/cpu-isa/rv64mi-p-ld-misaligned/simulation.log	cpu-isa
rv64mi-p-lh-misaligned	isa	PASS	0	1.277		campaigns/cpu-isa/rv64mi-p-lh-misaligned/simulation.log	cpu-isa
rv64mi-p-lw-misaligned	isa	PASS	0	1.327		campaigns/cpu-isa/rv64mi-p-lw-misaligned/simulation.log	cpu-isa
rv64mi-p-ma_addr	isa	PASS	0	2.178		campaigns/cpu-isa/rv64mi-p-ma_addr/simulation.log	cpu-isa
rv64mi-p-ma_fetch	isa	PASS	0	1.276		campaigns/cpu-isa/rv64mi-p-ma_fetch/simulation.log	cpu-isa
rv64mi-p-mcsr	isa	PASS	0	1.382		campaigns/cpu-isa/rv64mi-p-mcsr/simulation.log	cpu-isa
rv64mi-p-sbreak	isa	PASS	0	1.278		campaigns/cpu-isa/rv64mi-p-sbreak/simulation.log	cpu-isa
rv64mi-p-scall	isa	PASS	0	1.271		campaigns/cpu-isa/rv64mi-p-scall/simulation.log	cpu-isa
rv64mi-p-sd-misaligned	isa	PASS	0	1.723		campaigns/cpu-isa/rv64mi-p-sd-misaligned/simulation.log	cpu-isa
rv64mi-p-sh-misaligned	isa	PASS	0	1.223		campaigns/cpu-isa/rv64mi-p-sh-misaligned/simulation.log	cpu-isa
rv64mi-p-sw-misaligned	isa	PASS	0	1.327		campaigns/cpu-isa/rv64mi-p-sw-misaligned/simulation.log	cpu-isa
rv64mi-p-zicntr	isa	PASS	0	1.225		campaigns/cpu-isa/rv64mi-p-zicntr/simulation.log	cpu-isa
rv64mzicbo-p-zero	isa	FAIL	255	1.224		campaigns/cpu-isa/rv64mzicbo-p-zero/simulation.log	cpu-isa
rv64si-p-csr	isa	PASS	0	1.474		campaigns/cpu-isa/rv64si-p-csr/simulation.log	cpu-isa
rv64si-p-dirty	isa	PASS	0	1.425		campaigns/cpu-isa/rv64si-p-dirty/simulation.log	cpu-isa
rv64si-p-icache-alias	isa	PASS	0	1.676		campaigns/cpu-isa/rv64si-p-icache-alias/simulation.log	cpu-isa
rv64si-p-ma_fetch	isa	PASS	0	1.324		campaigns/cpu-isa/rv64si-p-ma_fetch/simulation.log	cpu-isa
rv64si-p-sbreak	isa	PASS	0	1.222		campaigns/cpu-isa/rv64si-p-sbreak/simulation.log	cpu-isa
rv64si-p-scall	isa	PASS	0	1.275		campaigns/cpu-isa/rv64si-p-scall/simulation.log	cpu-isa
rv64si-p-wfi	isa	PASS	0	1.224		campaigns/cpu-isa/rv64si-p-wfi/simulation.log	cpu-isa
rv64ssvnapot-p-napot	isa	PASS	0	1.58		campaigns/cpu-isa/rv64ssvnapot-p-napot/simulation.log	cpu-isa
rv64ua-p-amoadd_d	isa	PASS	0	1.225		campaigns/cpu-isa/rv64ua-p-amoadd_d/simulation.log	cpu-isa
rv64ua-p-amoadd_w	isa	PASS	0	1.227		campaigns/cpu-isa/rv64ua-p-amoadd_w/simulation.log	cpu-isa
rv64ua-p-amoand_d	isa	PASS	0	1.223		campaigns/cpu-isa/rv64ua-p-amoand_d/simulation.log	cpu-isa
rv64ua-p-amoand_w	isa	PASS	0	1.227		campaigns/cpu-isa/rv64ua-p-amoand_w/simulation.log	cpu-isa
rv64ua-p-amomax_d	isa	PASS	0	1.226		campaigns/cpu-isa/rv64ua-p-amomax_d/simulation.log	cpu-isa
rv64ua-p-amomax_w	isa	PASS	0	1.276		campaigns/cpu-isa/rv64ua-p-amomax_w/simulation.log	cpu-isa
rv64ua-p-amomaxu_d	isa	PASS	0	1.275		campaigns/cpu-isa/rv64ua-p-amomaxu_d/simulation.log	cpu-isa
rv64ua-p-amomaxu_w	isa	PASS	0	1.276		campaigns/cpu-isa/rv64ua-p-amomaxu_w/simulation.log	cpu-isa
rv64ua-p-amomin_d	isa	PASS	0	1.227		campaigns/cpu-isa/rv64ua-p-amomin_d/simulation.log	cpu-isa
rv64ua-p-amomin_w	isa	PASS	0	1.277		campaigns/cpu-isa/rv64ua-p-amomin_w/simulation.log	cpu-isa
rv64ua-p-amominu_d	isa	PASS	0	1.227		campaigns/cpu-isa/rv64ua-p-amominu_d/simulation.log	cpu-isa
rv64ua-p-amominu_w	isa	PASS	0	1.222		campaigns/cpu-isa/rv64ua-p-amominu_w/simulation.log	cpu-isa
rv64ua-p-amoor_d	isa	PASS	0	1.226		campaigns/cpu-isa/rv64ua-p-amoor_d/simulation.log	cpu-isa
rv64ua-p-amoor_w	isa	PASS	0	1.224		campaigns/cpu-isa/rv64ua-p-amoor_w/simulation.log	cpu-isa
rv64ua-p-amoswap_d	isa	PASS	0	1.226		campaigns/cpu-isa/rv64ua-p-amoswap_d/simulation.log	cpu-isa
rv64ua-p-amoswap_w	isa	PASS	0	1.225		campaigns/cpu-isa/rv64ua-p-amoswap_w/simulation.log	cpu-isa
rv64ua-p-amoxor_d	isa	PASS	0	1.225		campaigns/cpu-isa/rv64ua-p-amoxor_d/simulation.log	cpu-isa
rv64ua-p-amoxor_w	isa	PASS	0	1.223		campaigns/cpu-isa/rv64ua-p-amoxor_w/simulation.log	cpu-isa
rv64ua-p-lrsc	isa	PASS	0	6.456		campaigns/cpu-isa/rv64ua-p-lrsc/simulation.log	cpu-isa
