test	suite	result	exit_status	wall_seconds	cycles	log
rv64ua-v-amoadd_w	isa	PASS	0	65.066		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoadd_w/simulation.log
rv64ua-v-amoand_d	isa	PASS	0	59.831		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoand_d/simulation.log
rv64ua-v-amoand_w	isa	PASS	0	53.076		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoand_w/simulation.log
rv64ua-v-amomax_d	isa	PASS	0	54.163		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomax_d/simulation.log
rv64ua-v-amomax_w	isa	PASS	0	61.026		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomax_w/simulation.log
rv64ua-v-amomaxu_d	isa	PASS	0	62.563		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomaxu_d/simulation.log
rv64ua-v-amomaxu_w	isa	PASS	0	62.465		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomaxu_w/simulation.log
rv64ua-v-amomin_d	isa	PASS	0	56.498		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomin_d/simulation.log
rv64ua-v-amomin_w	isa	PASS	0	53.412		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomin_w/simulation.log
rv64ua-v-amominu_d	isa	PASS	0	52.81		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amominu_d/simulation.log
rv64ua-v-amominu_w	isa	PASS	0	55.37		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amominu_w/simulation.log
rv64ua-v-amoor_d	isa	PASS	0	51.144		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoor_d/simulation.log
rv64ua-v-amoor_w	isa	PASS	0	54.21		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoor_w/simulation.log
rv64ua-v-amoswap_d	isa	PASS	0	52.701		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoswap_d/simulation.log
rv64ua-v-amoswap_w	isa	PASS	0	50.797		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoswap_w/simulation.log
rv64ua-v-amoxor_d	isa	PASS	0	73.732		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoxor_d/simulation.log
rv64ua-v-amoxor_w	isa	PASS	0	92.918		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoxor_w/simulation.log
rv64uc-p-rvc	isa	PASS	0	5.246		${CAMPAIGN_ROOT}/cpu-isa/rv64uc-p-rvc/simulation.log
rv64ua-v-lrsc	isa	PASS	0	94.399		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-lrsc/simulation.log
rv64ud-p-fadd	isa	PASS	0	5.398		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fadd/simulation.log
rv64ud-p-fclass	isa	PASS	0	4.958		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fclass/simulation.log
rv64ud-p-fcmp	isa	PASS	0	6.146		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fcmp/simulation.log
rv64ud-p-fcvt	isa	PASS	0	5.71		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fcvt/simulation.log
rv64ud-p-fcvt_w	isa	PASS	0	9.671		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fcvt_w/simulation.log
rv64ud-p-fdiv	isa	PASS	0	6.205		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fdiv/simulation.log
rv64uc-v-rvc	isa	PASS	0	86.97		${CAMPAIGN_ROOT}/cpu-isa/rv64uc-v-rvc/simulation.log
rv64ud-p-fmadd	isa	PASS	0	6.156		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fmadd/simulation.log
rv64ud-p-fmin	isa	PASS	0	6.757		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fmin/simulation.log
rv64ud-p-ldst	isa	PASS	0	4.845		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-ldst/simulation.log
rv64ud-p-recoding	isa	PASS	0	4.747		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-recoding/simulation.log
rv64ud-p-move	isa	PASS	0	12.593		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-move/simulation.log
rv64ud-p-structural	isa	PASS	0	6.16		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-structural/simulation.log
rv64ud-v-fclass	isa	PASS	0	36.795		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fclass/simulation.log
rv64ud-v-fadd	isa	PASS	0	59.774		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fadd/simulation.log
rv64ud-v-fcmp	isa	PASS	0	63.504		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fcmp/simulation.log
rv64ud-v-fcvt	isa	PASS	0	63.755		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fcvt/simulation.log
rv64ud-v-fdiv	isa	PASS	0	63.263		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fdiv/simulation.log
rv64ud-v-fcvt_w	isa	PASS	0	90.726		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fcvt_w/simulation.log
rv64ud-v-fmadd	isa	PASS	0	73.736		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fmadd/simulation.log
rv64ud-v-fmin	isa	PASS	0	72.172		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-fmin/simulation.log
rv64ud-v-ldst	isa	PASS	0	68.858		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-ldst/simulation.log
rv64ud-v-move	isa	PASS	0	79.64		${CAMPAIGN_ROOT}/cpu-isa/rv64ud-v-move/simulation.log
