test	suite	result	exit_status	wall_seconds	cycles	log
rv64mi-p-breakpoint	isa	PASS	0	1.629		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-breakpoint/simulation.log
rv64mi-p-access	isa	PASS	0	1.683		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-access/simulation.log
rv64mi-p-csr	isa	PASS	0	1.935		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-csr/simulation.log
rv64mi-p-illegal	isa	PASS	0	2.031		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-illegal/simulation.log
rv64mi-p-lh-misaligned	isa	PASS	0	1.277		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-lh-misaligned/simulation.log
rv64mi-p-ld-misaligned	isa	PASS	0	1.777		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ld-misaligned/simulation.log
rv64mi-p-lw-misaligned	isa	PASS	0	1.327		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-lw-misaligned/simulation.log
rv64mi-p-ma_addr	isa	PASS	0	2.178		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ma_addr/simulation.log
rv64mi-p-ma_fetch	isa	PASS	0	1.276		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ma_fetch/simulation.log
rv64mi-p-sbreak	isa	PASS	0	1.278		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sbreak/simulation.log
rv64mi-p-mcsr	isa	PASS	0	1.382		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-mcsr/simulation.log
rv64mi-p-scall	isa	PASS	0	1.271		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-scall/simulation.log
rv64mi-p-sd-misaligned	isa	PASS	0	1.723		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sd-misaligned/simulation.log
rv64mi-p-sh-misaligned	isa	PASS	0	1.223		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sh-misaligned/simulation.log
rv64mi-p-sw-misaligned	isa	PASS	0	1.327		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sw-misaligned/simulation.log
rv64mi-p-zicntr	isa	PASS	0	1.225		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-zicntr/simulation.log
rv64mzicbo-p-zero	isa	FAIL	255	1.224		${CAMPAIGN_ROOT}/cpu-isa/rv64mzicbo-p-zero/simulation.log
rv64si-p-csr	isa	PASS	0	1.474		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-csr/simulation.log
rv64si-p-dirty	isa	PASS	0	1.425		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-dirty/simulation.log
rv64si-p-icache-alias	isa	PASS	0	1.676		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-icache-alias/simulation.log
rv64si-p-ma_fetch	isa	PASS	0	1.324		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-ma_fetch/simulation.log
rv64si-p-sbreak	isa	PASS	0	1.222		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-sbreak/simulation.log
rv64si-p-scall	isa	PASS	0	1.275		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-scall/simulation.log
rv64si-p-wfi	isa	PASS	0	1.224		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-wfi/simulation.log
rv64ssvnapot-p-napot	isa	PASS	0	1.58		${CAMPAIGN_ROOT}/cpu-isa/rv64ssvnapot-p-napot/simulation.log
rv64ua-p-amoadd_d	isa	PASS	0	1.225		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoadd_d/simulation.log
rv64ua-p-amoadd_w	isa	PASS	0	1.227		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoadd_w/simulation.log
rv64ua-p-amoand_d	isa	PASS	0	1.223		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoand_d/simulation.log
rv64ua-p-amoand_w	isa	PASS	0	1.227		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoand_w/simulation.log
rv64ua-p-amomax_d	isa	PASS	0	1.226		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomax_d/simulation.log
rv64ua-p-amomax_w	isa	PASS	0	1.276		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomax_w/simulation.log
rv64ua-p-amomaxu_d	isa	PASS	0	1.275		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomaxu_d/simulation.log
rv64ua-p-amomaxu_w	isa	PASS	0	1.276		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomaxu_w/simulation.log
rv64ua-p-amomin_d	isa	PASS	0	1.227		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomin_d/simulation.log
